Unnamed: 0,BAL,PIT
First Downs,23,20
Rush-Yds-TDs,27-67-1,20-70-1
Cmp-Att-Yd-TD-INT,28-47-300-1-0,20-37-330-1-1
Sacked-Yards,3-11,1-8
Net Pass Yards,289,322
Total Yards,356,392
Fumbles-Lost,2-1,1-1
Turnovers,1,2
Penalties-Yards,3-20,6-69
Third Down Conv.,14-21,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,33:59,26:01
