Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Shaun Suisham kicks off 65 yards, returned by David Reed for 24 yards (tackle by Ryan Mundy)",0.000,0.540
1,14:54,1,10,BAL 24,0,0,"Ray Rice left guard for 10 yards. Penalty on Torrey Smith: Offensive Holding, 10 yards",0.540,0.540
1,14:41,1,10,BAL 24,0,0,Ricky Williams left tackle for 3 yards (tackle by Troy Polamalu),0.540,0.400
1,14:04,2,7,BAL 27,0,0,Ricky Williams right tackle for 5 yards (tackle by William Gay and Troy Polamalu),0.400,0.370
1,13:20,3,2,BAL 32,0,0,Joe Flacco pass complete short right to Ricky Williams for 11 yards (tackle by Jason Worilds),0.370,1.800
1,12:57,1,10,BAL 43,0,0,Ray Rice left guard for 2 yards (tackle by Troy Polamalu and Jason Worilds),1.800,1.520
1,12:20,2,8,BAL 45,0,0,Joe Flacco pass complete short right to Ray Rice for 2 yards (tackle by Larry Foote),1.520,1.090
1,11:39,3,6,BAL 47,0,0,Joe Flacco pass complete deep right to Dennis Pitta for 23 yards (tackle by Ryan Clark),1.090,3.580
1,11:01,1,10,PIT 30,0,0,Ricky Williams left guard for 3 yards (tackle by Lawrence Timmons and Ryan Clark),3.580,3.440
1,10:29,2,7,PIT 27,0,0,Joe Flacco pass incomplete short left intended for Anquan Boldin,3.440,2.740
1,10:24,3,7,PIT 27,0,0,Joe Flacco pass complete short middle to Anquan Boldin for 15 yards (tackle by Ike Taylor and Troy Polamalu),2.740,4.780
1,9:49,1,10,PIT 12,0,0,"Joe Flacco pass incomplete short left intended for Torrey Smith. Penalty on William Gay: Defensive Pass Interference, 11 yards (no play)",4.780,6.970
1,9:42,1,1,PIT 1,0,0,Joe Flacco pass incomplete short right intended for Dennis Pitta (defended by Ryan Clark),6.970,5.910
1,9:35,2,1,PIT 1,0,0,Ray Rice up the middle for no gain (tackle by Larry Foote),5.910,5.170
1,8:59,3,1,PIT 1,0,0,Ray Rice up the middle for no gain (tackle by Evander Hood and Ryan Clark),5.170,3.550
1,8:13,4,1,PIT 1,3,0,Billy Cundiff 18 yard field goal good,3.550,3.000
1,,,,BAL 35,3,0,"Billy Cundiff kicks off 68 yards, returned by Antonio Brown for 25 yards (tackle by Jimmy Smith)",0.000,0.410
1,8:05,1,10,PIT 22,3,0,Rashard Mendenhall right guard for 9 yards (tackle by Jarret Johnson),0.410,1.080
1,7:29,2,1,PIT 31,3,0,Ben Roethlisberger pass incomplete short left intended for Rashard Mendenhall (defended by Bernard Pollard),1.080,0.370
