Unnamed: 0,NYJ,CLE
First Downs,12,16
Rush-Yds-TDs,27-88-0,39-147-1
Cmp-Att-Yd-TD-INT,11-28-108-0-2,15-22-141-1-1
Sacked-Yards,1-3,3-21
Net Pass Yards,105,120
Total Yards,193,267
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,1-5,3-42
Third Down Conv.,5-13,7-17
Fourth Down Conv.,0-1,0-0
Time of Possession,24:49,35:11
