Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,ATL 20,0,0,Steven Jackson left guard for -2 yards (tackle by Chris Long),0.280,-0.630
1,14:20,2,12,ATL 18,0,0,Matt Ryan pass incomplete short middle intended for Steven Jackson (defended by Alec Ogletree),-0.630,-1.330
1,14:16,3,12,ATL 18,0,0,"Matt Ryan pass complete short right to Tony Gonzalez for no gain. Penalty on Chris Long: Defensive Offside, 5 yards (no play)",-1.330,-0.560
1,13:55,3,7,ATL 23,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 11 yards (tackle by Alec Ogletree),-0.560,1.200
1,13:15,1,10,ATL 34,0,0,Matt Ryan pass complete short right to Bradie Ewing for 14 yards (tackle by Alec Ogletree),1.200,2.130
1,12:46,1,10,ATL 48,0,0,Steven Jackson right tackle for 2 yards (tackle by Alec Ogletree),2.130,1.850
1,12:10,2,8,,0,0,Matt Ryan pass complete short right to Julio Jones for no gain,1.850,1.160
1,11:31,3,8,,0,0,Matt Ryan pass complete short left to Harry Douglas for 20 yards (tackle by James Laurinaitis),1.160,3.580
1,10:47,1,10,STL 30,0,0,Steven Jackson left tackle for no gain (tackle by Robert Quinn),3.580,3.030
1,10:10,2,10,STL 30,0,0,Matt Ryan pass complete short left to Jacquizz Rodgers for 16 yards (tackle by Matt Conrath),3.030,4.650
1,9:22,1,10,STL 14,0,0,Matt Ryan pass complete short right to Jacquizz Rodgers for 6 yards (tackle by Alec Ogletree),4.650,5.090
1,8:42,2,4,STL 8,0,6,"Matt Ryan pass complete short right to Steven Jackson for 8 yards, touchdown",5.090,7.000
1,8:42,,,STL 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,8:42,,,ATL 35,0,7,"Matthew Bosher kicks off 74 yards, returned by Benny Cunningham for 25 yards (tackle by Dominique Davis). Penalty on Tim Barnes: Offensive Holding, 8 yards",0.000,0.380
1,8:29,1,10,STL 8,0,7,Sam Bradford pass complete short left to Daryl Richardson for -3 yards (tackle by Joplo Bartu),-0.380,-1.000
1,7:53,2,13,STL 5,0,7,Daryl Richardson left tackle for 2 yards (tackle by Corey Peters),-1.000,-1.540
1,7:13,3,11,STL 7,0,7,Sam Bradford pass complete short right to Daryl Richardson for 8 yards (tackle by Asante Samuel),-1.540,-2.440
1,6:37,4,3,STL 15,0,7,Johnny Hekker punts 63 yards,-2.440,-0.410
1,6:26,1,10,ATL 22,0,7,Jacquizz Rodgers left guard for no gain (tackle by Rodney McLeod),0.410,-0.130
1,5:42,2,10,ATL 22,0,7,Matt Ryan pass complete short middle to Harry Douglas for 15 yards (tackle by Cortland Finnegan),-0.130,1.400
1,5:02,1,10,ATL 37,0,7,Matt Ryan pass complete short left to Julio Jones for 4 yards (tackle by Rodney McLeod),1.400,1.400
1,4:30,2,6,ATL 41,0,7,Matt Ryan pass incomplete short left intended for Julio Jones (defended by Alec Ogletree),1.400,0.700
1,4:26,3,6,ATL 41,0,7,Matt Ryan pass incomplete deep left intended for Julio Jones,0.700,-0.650
1,4:20,4,6,ATL 41,0,7,"Matthew Bosher punts 50 yards, fair catch by Tavon Austin",-0.650,0.380
1,4:11,1,10,STL 9,0,7,Sam Bradford pass incomplete short right intended for Lance Kendricks,-0.380,-0.780
1,4:07,2,10,STL 9,0,7,Sam Bradford pass complete short left to Daryl Richardson for 17 yards (tackle by Desmond Trufant),-0.780,0.670
1,3:37,1,10,STL 26,0,7,Tavon Austin left end for 1 yard (tackle by Robert McClain),0.670,0.270
1,2:56,2,9,STL 27,0,7,Sam Bradford pass complete short right to Austin Pettis for no gain,0.270,-0.430
1,2:13,3,9,STL 27,0,7,Sam Bradford pass incomplete,-0.430,-1.570
1,2:06,4,9,STL 27,0,7,"Johnny Hekker punts 47 yards, out of bounds. Penalty on Paul Worrilow: Offensive Holding, 10 yards",-1.570,0.140
1,1:58,1,10,ATL 16,0,7,Matt Ryan pass complete short left to Jason Snelling for 3 yards (tackle by Will Witherspoon),-0.140,-0.180
1,1:35,2,7,ATL 19,0,7,Matt Ryan pass incomplete short middle intended for Tony Gonzalez,-0.180,-0.950
1,1:31,3,7,ATL 19,0,13,"Matt Ryan pass complete deep right to Julio Jones for 81 yards, touchdown",-0.950,7.000
1,1:31,,,STL 2,0,14,Matt Bryant kicks extra point good,0.000,0.000
1,1:31,,,ATL 35,0,14,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
1,1:19,1,10,STL 20,0,14,Daryl Richardson right end for 6 yards (tackle by Akeem Dent),0.280,0.540
1,0:44,2,4,STL 26,0,14,Daryl Richardson right end for 1 yard (tackle by Peria Jerry),0.540,-0.030
1,0:11,3,3,STL 27,0,14,Sam Bradford pass complete short middle to Chris Givens for 13 yards (tackle by Robert Alford),-0.030,1.600
Quarter,Time,Down,ToGo,Location,STL,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 40,0,14,Sam Bradford pass complete short right to Austin Pettis for 9 yards (tackle by Robert McClain),1.600,2.270
2,14:29,2,1,STL 49,0,14,Daryl Richardson left guard for 8 yards (tackle by Kroy Biermann),2.270,2.720
2,13:53,1,10,ATL 43,0,14,Sam Bradford pass complete short right to Daryl Richardson for 4 yards (tackle by Corey Peters),2.720,2.720
2,13:11,2,6,ATL 39,0,14,Sam Bradford pass complete short right to Tavon Austin for 5 yards (tackle by Sean Weatherspoon),2.720,2.680
2,12:46,3,1,ATL 34,0,14,Benny Cunningham right tackle for no gain (tackle by Joplo Bartu),2.680,1.100
2,12:24,4,1,ATL 34,0,14,Daryl Richardson left guard for 2 yards (tackle by Thomas DeCoud),1.100,3.450
2,11:41,1,10,ATL 32,0,20,"Sam Bradford pass incomplete short left intended for Daryl Richardson is intercepted by Osi Umenyiora at ATL-32 and returned for 68 yards, touchdown",3.450,-7.000
2,11:25,,,STL 2,0,21,Matt Bryant kicks extra point good,0.000,0.000
2,11:25,,,ATL 35,0,21,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
