Quarter,Time,Tm,Detail,STL,ATL
1.0,8:34,Falcons,Steven Jackson 8 yard pass from Matt Ryan (Matt Bryant kick),0,7
,1:19,Falcons,Julio Jones 81 yard pass from Matt Ryan (Matt Bryant kick),0,14
2.0,11:25,Falcons,Osi Umenyiora 68 yard interception return (Matt Bryant kick),0,21
,6:29,Rams,Greg Zuerlein 29 yard field goal,3,21
,0:09,Falcons,Matt Bryant 38 yard field goal,3,24
3.0,1:30,Rams,Tavon Austin 6 yard pass from Sam Bradford (Greg Zuerlein kick),10,24
4.0,11:57,Rams,Austin Pettis 3 yard pass from Sam Bradford (Greg Zuerlein kick),17,24
,6:12,Falcons,Jason Snelling 11 yard rush (Matt Bryant kick),17,31
,2:09,Rams,Tavon Austin 10 yard pass from Sam Bradford (Greg Zuerlein kick),24,31
