Unnamed: 0,STL,ATL
First Downs,24,19
Rush-Yds-TDs,18-69-0,16-36-1
Cmp-Att-Yd-TD-INT,32-55-352-3-1,33-43-374-2-0
Sacked-Yards,0-0,2-17
Net Pass Yards,352,357
Total Yards,421,393
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-53,7-53
Third Down Conv.,7-17,7-13
Fourth Down Conv.,2-2,0-0
Time of Possession,29:43,30:17
