Unnamed: 0,ARI,DET
First Downs,15,16
Rush-Yds-TDs,26-94-0,32-215-1
Cmp-Att-Yd-TD-INT,18-40-168-1-4,15-27-196-1-1
Sacked-Yards,1-8,2-13
Net Pass Yards,160,183
Total Yards,254,398
Fumbles-Lost,0-0,0-0
Turnovers,4,1
Penalties-Yards,7-70,10-69
Third Down Conv.,6-16,4-13
Fourth Down Conv.,0-1,0-0
Time of Possession,29:41,30:19
