Quarter,Time,Tm,Detail,ARI,DET
1.0,11:09,Cardinals,Neil Rackers 42 yard field goal,3,0
,3:05,Lions,Tai Streets 17 yard pass from Joey Harrington (Jason Hanson kick),3,7
2.0,14:13,Cardinals,Neil Rackers 33 yard field goal,6,7
,8:13,Lions,Kevin Jones 2 yard rush (Jason Hanson kick),6,14
,3:40,Cardinals,Freddie Jones 33 yard pass from John Navarre (pass failed),12,14
3.0,7:32,Lions,Jason Hanson 45 yard field goal,12,17
,3:17,Lions,Jason Hanson 22 yard field goal,12,20
4.0,10:00,Lions,Jason Hanson 31 yard field goal,12,23
,5:13,Lions,Jason Hanson 36 yard field goal,12,26
