Quarter,Time,Down,ToGo,Location,CLE,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,KAN 25,0,0,Tyreek Hill left end for 4 yards (tackle by Kevin Johnson),0.610,0.600
1,14:28,2,6,KAN 29,0,0,Darrel Williams left guard for 12 yards (tackle by B.J. Goodson),0.600,1.660
1,13:53,1,10,KAN 41,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 7 yards (tackle by B.J. Goodson and Sione Takitaki),1.660,2.070
1,13:12,2,3,KAN 48,0,0,Patrick Mahomes pass complete deep right to Tyreek Hill for 26 yards (tackle by Denzel Ward),2.070,3.840
1,12:36,1,10,CLE 26,0,0,Darrel Williams up the middle for 6 yards (tackle by Sheldon Richardson and Mack Wilson),3.840,4.110
1,11:54,2,4,CLE 20,0,0,"Penalty on Sheldon Richardson: Neutral Zone Infraction, 5 yards (no play)",4.110,4.580
1,11:38,1,10,CLE 15,0,0,Patrick Mahomes pass complete short left to Mecole Hardman for -1 yards (tackle by Ronnie Harrison),4.580,3.810
1,10:58,2,11,CLE 16,0,0,Patrick Mahomes pass complete short left to Darrel Williams for 9 yards (tackle by B.J. Goodson),3.810,4.680
1,10:20,3,2,CLE 7,0,0,Tyreek Hill right end for 4 yards (tackle by Kevin Johnson),4.680,6.510
1,9:51,1,3,CLE 3,0,0,Darrel Williams left guard for 2 yards (tackle by Larry Ogunjobi),6.510,5.910
1,9:16,2,1,CLE 1,0,6,"Patrick Mahomes right end for 1 yard, touchdown",5.910,7.000
1,9:11,,,CLE 15,0,6,Harrison Butker kicks extra point no good wide left,0.000,-1.000
1,9:11,,,KAN 35,0,6,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,9:11,1,10,CLE 25,0,6,Nick Chubb left end for 5 yards (tackle by Derrick Nnadi),0.610,0.740
1,8:49,2,5,CLE 30,0,6,Baker Mayfield pass complete short left to David Njoku for 27 yards (tackle by Bashaud Breeland),0.740,2.720
1,7:57,1,10,KAN 43,0,6,Baker Mayfield pass incomplete short left intended for Jarvis Landry,2.720,2.180
1,7:52,2,10,KAN 43,0,6,Baker Mayfield pass incomplete deep right intended for Austin Hooper (defended by Damien Wilson),2.180,1.490
1,7:42,3,10,KAN 43,0,6,Baker Mayfield pass complete short right to Austin Hooper for 11 yards (tackle by Charvarius Ward),1.490,3.450
1,7:02,1,10,KAN 32,0,6,Nick Chubb left end for 6 yards (tackle by Charvarius Ward and Tyrann Mathieu),3.450,3.710
1,6:21,2,4,KAN 26,0,6,Nick Chubb right end for no gain (tackle by Mike Pennel and Tershawn Wharton),3.710,3.010
1,5:37,3,4,KAN 26,0,6,Baker Mayfield right end for 6 yards (tackle by Anthony Hitchens),3.010,4.240
1,4:58,1,10,KAN 20,0,6,Baker Mayfield pass complete short middle to Jarvis Landry for -3 yards (tackle by L'Jarius Sneed),4.240,3.290
1,4:12,2,13,KAN 23,0,6,Baker Mayfield sacked by L'Jarius Sneed for -8 yards,3.290,1.550
1,3:25,,,,,,Timeout #1 by Cleveland Browns,,
1,3:25,3,21,KAN 31,0,6,Baker Mayfield pass complete short left to Jarvis Landry for 3 yards (tackle by Bashaud Breeland),1.550,1.590
1,2:46,4,18,KAN 28,3,6,Cody Parkey 46 yard field goal good,1.590,3.000
1,2:41,,,CLE 35,3,6,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
1,2:41,1,10,KAN 25,3,6,Patrick Mahomes pass incomplete short right intended for Le'Veon Bell,0.610,0.060
1,2:37,2,10,KAN 25,3,6,Patrick Mahomes pass complete short middle to Mecole Hardman for 42 yards (tackle by Myles Garrett),0.060,3.380
1,1:55,1,10,CLE 33,3,6,Le'Veon Bell up the middle for 2 yards (tackle by Sione Takitaki and Mack Wilson),3.380,3.110
1,1:22,2,8,CLE 31,3,6,Patrick Mahomes pass complete short right to Mecole Hardman for 9 yards (tackle by B.J. Goodson),3.110,4.110
1,0:46,1,10,CLE 22,3,6,Patrick Mahomes pass complete short left to Byron Pringle for 11 yards (tackle by B.J. Goodson and Terrance Mitchell),4.110,4.840
Quarter,Time,Down,ToGo,Location,CLE,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 11,3,6,Tyreek Hill left end for 1 yard (tackle by Kevin Johnson),4.840,4.320
2,14:25,2,9,CLE 10,3,6,"Patrick Mahomes right end for 7 yards (tackle by Terrance Mitchell). Penalty on Austin Reiter: Offensive Holding, 10 yards (no play)",4.320,3.070
2,13:57,2,19,CLE 20,3,12,"Patrick Mahomes pass complete short left to Travis Kelce for 20 yards, touchdown",3.070,7.000
2,13:48,,,CLE 15,3,13,Harrison Butker kicks extra point good,0.000,0.000
2,13:48,,,KAN 35,3,13,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,13:48,1,10,CLE 25,3,13,Nick Chubb right end for 4 yards (tackle by Tanoh Kpassagnon),0.610,0.600
2,13:13,2,6,CLE 29,3,13,Baker Mayfield pass complete short left to Jarvis Landry for 7 yards (tackle by L'Jarius Sneed),0.600,1.330
2,12:34,1,10,CLE 36,3,13,Nick Chubb right end for -3 yards (tackle by Tyrann Mathieu),1.330,0.390
2,11:49,2,13,CLE 33,3,13,Baker Mayfield pass complete deep right to Donovan Peoples-Jones for 23 yards (tackle by Charvarius Ward),0.390,2.650
2,11:17,1,10,KAN 44,3,13,"Baker Mayfield pass complete deep left to Jarvis Landry for 17 yards (tackle by Daniel Sorensen). Penalty on Wyatt Teller: Offensive Holding, 10 yards (no play)",2.650,1.990
2,10:40,1,20,CLE 46,3,13,Baker Mayfield pass incomplete short right intended for Nick Chubb,1.990,0.760
2,10:35,2,20,CLE 46,3,13,Baker Mayfield pass incomplete short left intended for Nick Chubb,0.760,0.100
2,10:30,3,20,CLE 46,3,13,Baker Mayfield pass complete short middle to Baker Mayfield for -8 yards (tackle by Frank Clark),0.100,-0.850
2,9:44,4,28,CLE 38,3,13,"Jamie Gillan punts 47 yards, fair catch by Mecole Hardman at KC-15",-0.850,0.220
2,9:38,1,10,KAN 15,3,13,Darrel Williams left end for 4 yards (tackle by Terrance Mitchell and Porter Gustin),-0.220,-0.110
2,9:00,2,6,KAN 19,3,13,Patrick Mahomes pass complete short left to Tyreek Hill for 8 yards (tackle by Denzel Ward),-0.110,0.740
2,8:23,1,10,KAN 27,3,13,Patrick Mahomes pass complete short right to Travis Kelce for 14 yards (tackle by Andrew Sendejo),0.740,1.660
