Unnamed: 0,CLE,KAN
First Downs,21,24
Rush-Yds-TDs,22-112-1,24-123-1
Cmp-Att-Yd-TD-INT,23-37-204-1-1,27-38-321-1-1
Sacked-Yards,1-8,1-6
Net Pass Yards,196,315
Total Yards,308,438
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,3-25,7-55
Third Down Conv.,6-13,5-10
Fourth Down Conv.,3-3,2-2
Time of Possession,29:23,30:37
