Quarter,Time,Tm,Detail,TAM,PHI
1.0,14:08,Eagles,Duce Staley 20 yard rush (David Akers kick),0,7
,9:58,Buccaneers,Martin Gramatica 48 yard field goal,3,7
,0:40,Buccaneers,Mike Alstott 1 yard rush (Martin Gramatica kick),10,7
2.0,8:04,Eagles,David Akers 30 yard field goal,10,10
,2:28,Buccaneers,Keyshawn Johnson 9 yard pass from Brad Johnson (Martin Gramatica kick),17,10
3.0,1:02,Buccaneers,Martin Gramatica 27 yard field goal,20,10
4.0,3:12,Buccaneers,Ronde Barber 92 yard interception return (Martin Gramatica kick),27,10
