Quarter,Time,Down,ToGo,Location,TAM,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Martin Gramatica kicks off 66 yards, returned by Brian Mitchell for 70 yards (tackle by Jermaine Phillips)",0.000,3.840
1,14:48,1,10,TAM 26,0,0,Donovan McNabb pass complete to Duce Staley for 6 yards (tackle by Alshermond Singleton),3.840,4.110
1,14:15,2,4,TAM 20,0,6,"Duce Staley right guard for 20 yards, touchdown",4.110,7.000
1,14:15,,,TAM 20,0,7,David Akers kicks extra point good,0.000,0.000
1,14:15,,,PHI 30,0,7,"David Akers kicks off 51 yards, returned by Aaron Stecker for 14 yards (tackle by Barry Gardner)",0.000,1.140
1,14:02,1,10,TAM 33,0,7,Michael Pittman left tackle for no gain (tackle by Shawn Barber and Corey Simon),1.140,0.590
1,13:35,2,10,TAM 33,0,7,Michael Pittman left guard for 9 yards (tackle by Levon Kirkland and Shawn Barber),0.590,1.090
1,12:58,3,1,TAM 42,0,7,Mike Alstott middle for 2 yards (tackle by Levon Kirkland),1.090,1.860
1,12:26,1,10,TAM 44,0,7,Brad Johnson pass complete to Keenan McCardell for 6 yards (tackle by Barry Gardner and Troy Vincent),1.860,2.130
1,11:54,2,4,,0,7,Brad Johnson pass complete to Ken Dilger for 13 yards (tackle by Troy Vincent),2.130,3.120
1,11:26,1,10,PHI 37,0,7,Michael Pittman right tackle for no gain (tackle by Barry Gardner and Darwin Walker),3.120,2.570
1,10:45,2,10,PHI 37,0,7,Brad Johnson pass complete to Michael Pittman for 7 yards (tackle by Barry Gardner and Brandon Whiting),2.570,2.810
1,10:06,3,3,PHI 30,0,7,Brad Johnson pass incomplete intended for Keenan McCardell (defended by Troy Vincent),2.810,1.480
1,10:01,4,3,PHI 30,3,7,Martin Gramatica 48 yard field goal good,1.480,3.000
1,10:01,,,TAM 30,3,7,"Martin Gramatica kicks off 69 yards, returned by Brian Mitchell for 43 yards (tackle by John Howell)",0.000,1.860
1,9:50,1,10,PHI 44,3,7,Donovan McNabb pass incomplete intended for Brian Westbrook (defended by Ronde Barber),1.860,1.320
1,9:46,2,10,PHI 44,3,7,Dorsey Levens left tackle for 1 yard (tackle by Greg Spires),1.320,0.760
1,9:06,3,9,PHI 45,3,7,Dorsey Levens right end for no gain (tackle by Derrick Brooks),0.760,-0.390
1,8:25,4,9,PHI 45,3,7,"Lee Johnson punts 36 yards, fair catch by Karl Williams",-0.390,-0.150
1,8:18,1,10,TAM 19,3,7,Aaron Stecker right guard for 9 yards (tackle by Carlos Emmons),0.150,0.880
1,7:55,2,1,TAM 28,3,7,Brad Johnson pass complete to Aaron Stecker for 3 yards (tackle by Darwin Walker and Shawn Barber),0.880,1.000
1,7:20,1,10,TAM 31,3,7,Brad Johnson pass incomplete intended for Keyshawn Johnson is intercepted by Bobby Taylor at TAM-47 and returned for 1 yard,1.000,-2.520
1,7:14,1,10,TAM 46,3,7,Duce Staley right tackle for 4 yards (tackle by Greg Spires and Chartric Darby),2.520,2.520
1,6:34,2,6,TAM 42,3,7,Donovan McNabb pass complete to James Thrash for 4 yards (tackle by Alshermond Singleton),2.520,2.350
1,5:53,3,2,TAM 38,3,7,Donovan McNabb pass complete to James Thrash for 4 yards (tackle by Brian Kelly),2.350,3.310
1,5:35,1,10,TAM 34,3,7,Duce Staley right end for -1 yards (tackle by Derrick Brooks),3.310,2.640
1,4:52,2,11,TAM 35,3,7,Brian Westbrook right tackle for 3 yards (tackle by Warren Sapp),2.640,2.350
1,4:10,3,8,TAM 32,3,7,Donovan McNabb pass incomplete intended for Dorsey Levens (defended by Nate Webster),2.350,1.240
1,4:06,4,8,TAM 32,3,7,Lee Johnson punts 28 yards,1.240,0.380
1,3:55,1,10,TAM 4,3,7,Mike Alstott middle for 6 yards (tackle by Brandon Whiting and Brian Dawkins),-0.380,-0.340
1,3:17,2,4,TAM 10,3,7,Mike Alstott right guard for 6 yards (tackle by Brian Dawkins and Barry Gardner),-0.340,-0.140
1,2:35,1,10,TAM 16,3,7,Brad Johnson pass incomplete intended for Mike Alstott,-0.140,-0.660
1,2:30,2,10,TAM 16,3,7,Brad Johnson pass complete to Keenan McCardell for 8 yards (tackle by Bobby Taylor),-0.660,-0.320
1,1:57,2,10,TAM 16,,,Timeout #1 by Tampa Bay Buccaneers,-0.660,-0.320
1,1:57,3,2,TAM 24,3,7,Brad Johnson pass complete to Joe Jurevicius for 71 yards (tackle by Brian Dawkins),-0.320,6.060
1,1:21,1,5,PHI 5,3,7,Mike Alstott right guard for 4 yards (tackle by Barry Gardner and Michael Lewis),6.060,5.910
1,0:43,2,1,PHI 1,9,7,"Mike Alstott left end for 1 yard, touchdown",5.910,7.000
1,0:43,,,PHI 1,10,7,Martin Gramatica kicks extra point good,0.000,0.000
1,0:43,,,TAM 30,10,7,"Martin Gramatica kicks off 63 yards, returned by Brian Mitchell for 5 yards (tackle by John Howell)",0.000,-0.350
1,0:34,1,10,PHI 12,10,7,Duce Staley middle for 3 yards (tackle by Alshermond Singleton),-0.350,-0.500
Quarter,Time,Down,ToGo,Location,TAM,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,PHI 15,10,7,Donovan McNabb right end for 11 yards (tackle by Brian Kelly),-0.500,0.670
2,14:34,1,10,PHI 26,10,7,Donovan McNabb pass incomplete intended for Duce Staley,0.670,0.130
2,14:28,2,10,PHI 26,10,7,Donovan McNabb pass incomplete intended for Freddie Mitchell (defended by Dexter Jackson),0.130,-0.560
