Unnamed: 0,CIN,NYJ
First Downs,5,21
Rush-Yds-TDs,18-72-0,57-257-4
Cmp-Att-Yd-TD-INT,4-19-31-0-1,8-16-63-0-0
Sacked-Yards,3-31,0-0
Net Pass Yards,0,63
Total Yards,72,320
Fumbles-Lost,2-2,0-0
Turnovers,3,0
Penalties-Yards,7-44,4-20
Third Down Conv.,1-11,11-18
Fourth Down Conv.,1-1,1-1
Time of Possession,18:46,41:14
