Unnamed: 0,CIN,CLE
First Downs,28,15
Rush-Yds-TDs,31-156-0,27-75-0
Cmp-Att-Yd-TD-INT,26-47-239-1-3,17-30-198-2-0
Sacked-Yards,5-38,1-8
Net Pass Yards,201,190
Total Yards,357,265
Fumbles-Lost,2-0,0-0
Turnovers,3,0
Penalties-Yards,3-30,12-87
Third Down Conv.,9-17,4-12
Fourth Down Conv.,0-2,0-1
Time of Possession,31:18,28:42
