Unnamed: 0,CAR,MIN
First Downs,21,26
Rush-Yds-TDs,28-107-0,24-96-0
Cmp-Att-Yd-TD-INT,19-36-267-1-1,34-45-307-3-0
Sacked-Yards,0-0,2-16
Net Pass Yards,267,291
Total Yards,374,387
Fumbles-Lost,0-0,3-3
Turnovers,1,3
Penalties-Yards,7-58,8-52
Third Down Conv.,6-14,6-13
Fourth Down Conv.,1-1,1-1
Time of Possession,28:47,31:13
