Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mike Davis,CAR,15,55,0,5,29,1.9,26,1.7,1,15.0
Rodney Smith,CAR,7,18,0,2,0,0.0,18,2.6,2,3.5
Trenton Cannon,CAR,3,17,0,1,8,2.7,9,3.0,0,
Teddy Bridgewater,CAR,2,12,0,1,9,4.5,3,1.5,0,
Curtis Samuel,CAR,1,5,0,1,2,2.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Dalvin Cook,MIN,18,61,0,4,36,2.0,25,1.4,1,18.0
Kirk Cousins,MIN,3,19,0,2,13,4.3,6,2.0,0,
Alexander Mattison,MIN,2,6,0,,4,2.0,2,1.0,0,
C.J. Ham,MIN,1,10,0,1,9,9.0,1,1.0,0,
