Quarter,Time,Tm,Detail,CAR,MIN
1.0,5:34,Vikings,Justin Jefferson 12 yard pass from Kirk Cousins (Dan Bailey kick),0,7
2.0,1:52,Panthers,Robbie Chosen 41 yard pass from Teddy Bridgewater (Joey Slye kick),7,7
,0:00,Vikings,Dan Bailey 53 yard field goal,7,10
3.0,14:01,Panthers,Jeremy Chinn 17 yard fumble return (Joey Slye kick),14,10
,13:51,Panthers,Jeremy Chinn 28 yard fumble return (Joey Slye kick),21,10
4.0,14:47,Vikings,Dan Bailey 25 yard field goal,21,13
,11:31,Panthers,Joey Slye 40 yard field goal,24,13
,5:31,Vikings,Justin Jefferson 10 yard pass from Kirk Cousins (Olabisi Johnson pass from Kirk Cousins),24,21
,1:51,Panthers,Joey Slye 21 yard field goal,27,21
,0:46,Vikings,Chad Beebe 10 yard pass from Kirk Cousins (Dan Bailey kick),27,28
