Quarter,Time,Tm,Detail,NYJ,BAL
1.0,7:49,Ravens,Mark Ingram 6 yard rush (Justin Tucker kick),0,7
,2:50,Ravens,Miles Boykin 5 yard pass from Lamar Jackson (Justin Tucker kick failed),0,13
2.0,13:27,Jets,Jamison Crowder 4 yard pass from Sam Darnold (Sam Ficken kick),7,13
,9:43,Ravens,Mark Andrews 1 yard pass from Lamar Jackson (Mark Ingram run),7,21
3.0,5:09,Ravens,Marquise Brown 24 yard pass from Lamar Jackson (Justin Tucker kick),7,28
,0:58,Ravens,Seth Roberts 33 yard pass from Lamar Jackson (Justin Tucker kick),7,35
4.0,12:07,Jets,B.J. Bello 14 yard blocked punt return (Sam Ficken kick failed),13,35
,9:58,Ravens,Mark Ingram 10 yard pass from Lamar Jackson (Justin Tucker kick),13,42
,7:35,Jets,Jamison Crowder 18 yard pass from Sam Darnold (Robbie Chosen pass from Sam Darnold),21,42
