Unnamed: 0,NYJ,BAL
First Downs,13,23
Rush-Yds-TDs,24-103-0,34-218-1
Cmp-Att-Yd-TD-INT,18-32-218-2-1,15-24-212-5-0
Sacked-Yards,1-11,1-0
Net Pass Yards,207,212
Total Yards,310,430
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,8-94,6-35
Third Down Conv.,6-14,2-8
Fourth Down Conv.,0-2,1-1
Time of Possession,28:22,31:38
