Quarter,Time,Down,ToGo,Location,NYJ,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 68 yards, returned by Ty Montgomery for 34 yards (tackle by De'Anthony Thomas)",0.000,1.000
1,14:54,1,10,NYJ 31,0,0,Sam Darnold pass complete short left to Robby Anderson for 5 yards (tackle by Marlon Humphrey),1.000,1.140
1,14:23,2,5,NYJ 36,0,0,Le'Veon Bell left guard for no gain (tackle by Matt Judon),1.140,0.430
1,13:43,3,5,NYJ 36,0,0,Sam Darnold pass incomplete short right intended for Vyncint Smith,0.430,-0.980
1,13:36,4,5,NYJ 36,0,0,"Lac Edwards punts 48 yards, fair catch by De'Anthony Thomas at BAL-16",-0.980,0.140
1,13:29,1,10,BAL 16,0,0,Lamar Jackson pass complete short right to Hayden Hurst for 19 yards (tackle by James Burgess),-0.140,1.270
1,12:46,1,10,BAL 35,0,0,Lamar Jackson left tackle for 20 yards (tackle by Nate Hairston),1.270,2.590
1,12:06,1,10,NYJ 45,0,0,"Lamar Jackson aborted snap, recovered by Lamar Jackson at NYJ-49, recovered by Mark Ingram at NYJ-49 (tackle by Blessuan Austin)",2.590,2.720
1,11:28,2,5,NYJ 40,0,0,Lamar Jackson pass complete short middle to Willie Snead for 15 yards (tackle by Nate Hairston),2.720,3.910
1,10:43,,,,,,Timeout #1 by Baltimore Ravens,,
1,10:43,1,10,NYJ 25,0,0,Lamar Jackson left end for 2 yards (tackle by Darryl Roberts),3.910,3.630
1,10:03,2,8,NYJ 23,0,0,Lamar Jackson pass complete short middle to Mark Andrews for 7 yards (tackle by Darryl Roberts),3.630,4.060
1,9:25,3,1,NYJ 16,0,0,Mark Ingram left guard for 5 yards (tackle by Marcus Maye),4.060,4.840
1,8:36,1,10,NYJ 11,0,0,Lamar Jackson right tackle for 5 yards (tackle by Neville Hewitt),4.840,5.080
1,7:55,2,5,NYJ 6,0,6,"Mark Ingram left tackle for 6 yards, touchdown",5.080,7.000
1,7:49,,,NYJ 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,7:49,,,BAL 35,0,7,"Justin Tucker kicks off 60 yards, returned by Ty Montgomery for 31 yards (tackle by De'Anthony Thomas)",0.000,1.330
1,7:42,1,10,NYJ 36,0,7,Sam Darnold pass complete short right to Ty Montgomery for 5 yards (tackle by Marcus Peters),1.330,1.470
1,7:13,2,5,NYJ 41,0,7,Le'Veon Bell right guard for 15 yards (tackle by Chuck Clark and Jaylon Ferguson),1.470,2.650
1,6:37,1,10,BAL 44,0,7,Sam Darnold pass complete short left to Jeff Smith for 12 yards,2.650,3.450
1,6:05,1,10,BAL 32,0,7,Ty Montgomery left tackle for 1 yard (tackle by Domata Peko),3.450,3.040
1,5:24,2,9,BAL 31,0,7,Sam Darnold pass incomplete short middle intended for Vyncint Smith (defended by Marcus Peters),3.040,2.340
1,5:19,3,9,BAL 31,0,7,Sam Darnold pass incomplete short middle,2.340,1.320
1,5:13,4,9,BAL 31,0,7,Sam Ficken 49 yard field goal no good,1.320,-1.530
1,5:09,1,10,BAL 39,0,7,Lamar Jackson pass incomplete short middle intended for Mark Andrews,1.530,0.990
1,5:04,2,10,BAL 39,0,7,Mark Ingram right tackle for 29 yards (tackle by Darryl Roberts),0.990,3.450
1,4:20,1,10,NYJ 32,0,7,Gus Edwards left guard for 2 yards (tackle by Tarell Basham),3.450,3.170
1,3:44,2,8,NYJ 30,0,7,Lamar Jackson right guard for 25 yards (tackle by Blessuan Austin),3.170,6.060
1,2:57,1,5,NYJ 5,0,13,"Lamar Jackson pass complete short right to Miles Boykin for 5 yards, touchdown, touchdown",6.060,7.000
1,2:50,,,NYJ 15,0,13,Justin Tucker kicks extra point no good wide left,0.000,-1.000
1,2:50,,,BAL 35,0,13,"Justin Tucker kicks off 65 yards, returned by Vyncint Smith for 37 yards (tackle by Jordan Richards)",0.000,1.400
1,2:43,1,10,NYJ 37,0,13,Le'Veon Bell right guard for 5 yards (tackle by Michael Pierce and L.J. Fort),1.400,1.530
1,2:08,2,5,NYJ 42,0,13,Le'Veon Bell right guard for 7 yards (tackle by Michael Pierce and Brandon Williams),1.530,2.190
1,1:28,1,10,NYJ 49,0,13,"Sam Darnold pass complete short right to Vyncint Smith for 19 yards (tackle by Marlon Humphrey). Vyncint Smith fumbles (forced by Marlon Humphrey). Penalty on Jonotthan Harrison: Illegal Blindside Block, 15 yards (no play)",2.190,1.200
1,0:59,1,25,NYJ 34,0,13,Le'Veon Bell right guard for 4 yards (tackle by Jaylon Ferguson),1.200,0.160
