Unnamed: 0,CHI,DET
First Downs,23,16
Rush-Yds-TDs,25-122-0,20-181-1
Cmp-Att-Yd-TD-INT,28-38-249-1-0,19-26-219-2-1
Sacked-Yards,3-12,1-5
Net Pass Yards,237,214
Total Yards,359,395
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,14-104,12-94
Third Down Conv.,4-13,5-11
Fourth Down Conv.,0-1,0-0
Time of Possession,39:03,20:57
