Quarter,Time,Tm,Detail,CHI,DET
2.0,14:11,Lions,Calvin Johnson 73 yard pass from Matthew Stafford (Jason Hanson kick),0,7
,8:18,Bears,Robbie Gould 44 yard field goal,3,7
,1:11,Bears,Kellen Davis 9 yard pass from Jay Cutler (Robbie Gould kick),10,7
3.0,9:55,Lions,Brandon Pettigrew 18 yard pass from Matthew Stafford (Jason Hanson kick),10,14
,5:20,Lions,Jahvid Best 88 yard rush (Jason Hanson kick),10,21
4.0,4:07,Bears,Robbie Gould 49 yard field goal,13,21
,1:56,Lions,Jason Hanson 31 yard field goal,13,24
