Unnamed: 0,SEA,BAL
First Downs,28,16
Rush-Yds-TDs,36-123-0,14-28-0
Cmp-Att-Yd-TD-INT,24-33-301-5-0,23-40-274-0-1
Sacked-Yards,0-0,1-0
Net Pass Yards,301,274
Total Yards,424,302
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,6-42,9-94
Third Down Conv.,8-12,3-11
Fourth Down Conv.,0-0,0-1
Time of Possession,35:43,24:17
