Quarter,Time,Down,ToGo,Location,SEA,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,BAL 20,0,0,Javorius Allen left tackle for 1 yard (tackle by K.J. Wright),0.280,-0.130
1,14:28,2,9,BAL 21,0,0,Javorius Allen left guard for 1 yard (tackle by Bobby Wagner),-0.130,-0.690
1,13:49,3,8,BAL 22,0,0,"Penalty on Bruce Irvin: Neutral Zone Infraction, 5 yards (no play)",-0.690,-0.030
1,13:38,3,3,BAL 27,0,0,Jimmy Clausen pass incomplete short left intended for Javorius Allen,-0.030,-1.570
1,13:33,4,3,BAL 27,0,0,"Sam Koch punts 58 yards, returned by Tyler Lockett for 3 yards (tackle by Anthony Levine). Penalty on SEA: Illegal Block Above the Waist (Declined), Penalty on Cassius Marsh: Defensive Offside, 5 yards (no play)",-1.570,1.070
1,13:25,1,10,BAL 32,0,0,Jimmy Clausen pass complete deep left to Daniel Brown for 31 yards (tackle by Richard Sherman),1.070,3.120
1,12:50,1,10,SEA 37,0,0,Terrance West left guard for -4 yards (tackle by Michael Bennett),3.120,2.030
1,12:10,2,14,SEA 41,0,0,Jimmy Clausen pass incomplete short left intended for Kamar Aiken (defended by Kam Chancellor),2.030,2.030
1,12:03,2,14,SEA 41,0,0,Timeout #1 by Baltimore Ravens,2.030,1.360
1,12:03,3,14,SEA 41,0,0,Jimmy Clausen sacked by Michael Bennett for 0 yards,1.360,0.530
1,11:31,4,14,SEA 41,0,0,"Sam Koch punts 41 yards, touchback",0.530,-0.280
1,11:26,1,10,SEA 20,0,0,Thomas Rawls right tackle for 16 yards (tackle by Shareece Wright and Kendrick Lewis),0.280,1.330
1,10:53,1,10,SEA 36,0,0,Russell Wilson pass complete short right to Jermaine Kearse for 12 yards (tackle by C.J. Mosley and Will Hill),1.330,2.130
1,10:20,1,10,SEA 48,0,0,Thomas Rawls right guard for 5 yards (tackle by C.J. Mosley and Daryl Smith),2.130,2.260
1,9:41,2,5,BAL 47,0,0,Russell Wilson pass complete short right to Jermaine Kearse for 9 yards (tackle by Shareece Wright),2.260,3.050
1,9:07,1,10,BAL 38,0,0,Russell Wilson pass complete short left to Jermaine Kearse for 5 yards (tackle by C.J. Mosley),3.050,3.180
1,8:26,2,5,BAL 33,0,0,Thomas Rawls left guard for 8 yards (tackle by Courtney Upshaw and Chris Canty),3.180,3.910
1,7:52,1,10,BAL 25,0,0,Thomas Rawls right tackle for 9 yards (tackle by Lardarius Webb),3.910,4.750
1,7:14,2,1,BAL 16,0,0,Fred Jackson right guard for 2 yards (tackle by Timmy Jernigan and Daryl Smith),4.750,4.650
1,6:32,1,10,BAL 14,0,0,Thomas Rawls left end for 9 yards (tackle by Elvis Dumervil and Timmy Jernigan),4.650,5.670
1,5:51,2,1,BAL 5,0,0,Thomas Rawls right guard for -3 yards (tackle by Chris Canty),5.670,4.280
1,5:15,3,4,BAL 8,6,0,"Russell Wilson pass complete short middle to Tyler Lockett for 8 yards, touchdown",4.280,7.000
1,5:15,,,BAL 8,7,0,Steven Hauschka kicks extra point good,0.000,0.000
1,5:15,,,SEA 35,7,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,5:08,1,10,BAL 20,7,0,Javorius Allen left guard for 3 yards (tackle by Ahtyba Rubin and A.J. Francis),0.280,0.140
1,4:31,2,7,BAL 23,7,0,Jimmy Clausen pass complete short right to Jeremy Butler for 8 yards (tackle by Richard Sherman),0.140,1.000
1,3:55,1,10,BAL 31,7,0,Jimmy Clausen pass incomplete short left intended for Chris Givens (defended by DeShawn Shead),1.000,0.460
1,3:50,2,10,BAL 31,7,0,Javorius Allen left tackle for 1 yard (tackle by Bobby Wagner and K.J. Wright),0.460,-0.100
1,3:06,3,9,BAL 32,7,0,Jimmy Clausen pass complete short middle to Jeremy Butler for 7 yards (tackle by Bobby Wagner and K.J. Wright),-0.100,-0.780
1,2:26,4,2,BAL 39,7,0,Sam Koch punts 56 yards,-0.780,0.380
1,2:14,1,10,SEA 5,7,0,Fred Jackson right guard for no gain (tackle by Brent Urban),-0.380,-0.780
1,1:32,2,10,SEA 5,7,0,Russell Wilson pass incomplete deep left intended for Tyler Lockett. Penalty on Tyler Lockett: Offensive Pass Interference (Declined),-0.780,-1.420
1,1:27,3,10,SEA 5,7,0,Russell Wilson pass incomplete short middle intended for Fred Jackson (defended by Terrence Brooks),-1.420,-2.490
1,1:22,4,10,SEA 5,7,0,"Jon Ryan punts 47 yards, returned by Kaelin Clay for 10 yards (tackle by Mike Morgan)",-2.490,-2.790
1,1:10,1,10,SEA 42,7,0,Jimmy Clausen pass complete deep left to Jeremy Butler for 23 yards (tackle by DeShawn Shead),2.790,4.310
1,0:41,1,10,SEA 19,7,0,Terrance West right guard for -1 yards (tackle by Cassius Marsh),4.310,3.630
Quarter,Time,Down,ToGo,Location,SEA,BAL,Detail,EPB,EPA
