Unnamed: 0,CHI,JAX
First Downs,10,22
Rush-Yds-TDs,14-31-0,28-90-0
Cmp-Att-Yd-TD-INT,17-33-212-0-1,25-45-242-2-1
Sacked-Yards,5-33,0-0
Net Pass Yards,179,242
Total Yards,210,332
Fumbles-Lost,2-1,1-0
Turnovers,2,1
Penalties-Yards,13-104,8-75
Third Down Conv.,2-12,4-15
Fourth Down Conv.,0-1,0-0
Time of Possession,24:17,35:43
