Unnamed: 0,KAN,DEN
First Downs,14,15
Rush-Yds-TDs,27-80-0,21-71-1
Cmp-Att-Yd-TD-INT,20-30-193-2-0,21-34-213-0-0
Sacked-Yards,1-2,9-79
Net Pass Yards,191,134
Total Yards,271,205
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,6-46,4-33
Third Down Conv.,5-15,1-13
Fourth Down Conv.,1-1,1-3
Time of Possession,32:13,27:47
