Quarter,Time,Tm,Detail,CLE,BAL
1.0,0:24,Ravens,Justin Tucker 52 yard field goal,0,3
2.0,3:53,Ravens,Justin Tucker 25 yard field goal,0,6
,1:02,Browns,Chase McLaughlin 46 yard field goal,3,6
3.0,9:48,Ravens,Mark Andrews 13 yard pass from Lamar Jackson (Justin Tucker kick),3,13
,0:39,Browns,David Njoku 20 yard pass from Baker Mayfield (Chase McLaughlin kick),10,13
4.0,1:10,Ravens,Justin Tucker 49 yard field goal,10,16
