Unnamed: 0,CLE,BAL
First Downs,14,22
Rush-Yds-TDs,17-40-0,43-148-0
Cmp-Att-Yd-TD-INT,18-37-247-1-0,20-32-165-1-4
Sacked-Yards,3-25,2-10
Net Pass Yards,222,155
Total Yards,262,303
Fumbles-Lost,2-2,0-0
Turnovers,2,4
Penalties-Yards,5-45,5-54
Third Down Conv.,4-13,7-15
Fourth Down Conv.,0-1,1-1
Time of Possession,22:56,37:04
