Unnamed: 0,GNB,SEA
First Downs,14,23
Rush-Yds-TDs,13-48-1,35-173-1
Cmp-Att-Yd-TD-INT,21-30-332-2-0,21-31-225-2-0
Sacked-Yards,5-21,3-20
Net Pass Yards,311,205
Total Yards,359,378
Fumbles-Lost,0-0,2-1
Turnovers,0,1
Penalties-Yards,5-80,6-30
Third Down Conv.,3-11,6-15
Fourth Down Conv.,0-0,2-2
Time of Possession,25:42,34:18
