Quarter,Time,Tm,Detail,BUF,TEN
1.0,4:40,Titans,Gary Anderson 29 yard field goal,0,3
2.0,13:51,Titans,Gary Anderson 39 yard field goal,0,6
,10:15,Bills,Rian Lindell 27 yard field goal,3,6
,1:52,Bills,Bobby Shaw 6 yard pass from Drew Bledsoe (Rian Lindell kick),10,6
3.0,13:19,Bills,Pat Williams 28 yard defensive fumble return (Rian Lindell kick),17,6
,5:35,Titans,Erron Kinney 14 yard pass from Billy Volek (Robert Holcombe run),17,14
4.0,14:31,Titans,Justin McCareins 2 yard pass from Billy Volek (Gary Anderson kick),17,21
,7:09,Bills,Rian Lindell 32 yard field goal,20,21
,4:23,Titans,Billy Volek 1 yard rush (Gary Anderson kick),20,28
,0:24,Bills,Mark Campbell 6 yard pass from Drew Bledsoe (pass failed),26,28
