Unnamed: 0,CLE,PIT
First Downs,15,20
Rush-Yds-TDs,20-93-0,31-190-1
Cmp-Att-Yd-TD-INT,16-38-185-2-2,24-46-123-1-1
Sacked-Yards,9-46,2-14
Net Pass Yards,139,109
Total Yards,232,299
Fumbles-Lost,0-0,2-0
Turnovers,2,1
Penalties-Yards,10-77,5-51
Third Down Conv.,5-17,5-18
Fourth Down Conv.,1-3,1-2
Time of Possession,25:05,34:55
