Quarter,Time,Tm,Detail,SFO,STL
1.0,14:44,49ers,Maurice Hicks 73 yard rush (Joe Nedney kick),7,0
,7:55,Rams,Jeff Wilkins 50 yard field goal,7,3
2.0,14:56,Rams,Steven Jackson 3 yard rush (Jeff Wilkins kick),7,10
,8:32,Rams,Torry Holt 40 yard pass from Jamie Martin (Jeff Wilkins kick),7,17
,3:33,Rams,Jeff Wilkins 51 yard field goal,7,20
,1:19,49ers,Frank Gore 10 yard rush (Joe Nedney kick),14,20
,0:00,49ers,Joe Nedney 56 yard field goal,17,20
4.0,4:05,49ers,Frank Gore 30 yard rush (Joe Nedney kick),24,20
