Unnamed: 0,SFO,STL
First Downs,15,20
Rush-Yds-TDs,29-217-3,21-44-1
Cmp-Att-Yd-TD-INT,12-16-131-0-0,33-41-354-1-2
Sacked-Yards,5-27,1-9
Net Pass Yards,104,345
Total Yards,321,389
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,6-39,4-24
Third Down Conv.,2-8,5-11
Fourth Down Conv.,0-0,0-1
Time of Possession,27:37,32:23
