Quarter,Time,Tm,Detail,DET,GNB
1.0,12:41,Lions,Matt Prater 26 yard field goal,3,0
,6:35,Lions,Kerryon Johnson 1 yard rush (Matt Prater kick),10,0
2.0,13:28,Lions,Matt Prater 22 yard field goal,13,0
,7:31,Packers,Jamaal Williams 5 yard pass from Aaron Rodgers (Mason Crosby kick),13,7
,0:07,Packers,Mason Crosby 37 yard field goal,13,10
3.0,12:35,Packers,Mason Crosby 48 yard field goal,13,13
,9:01,Lions,Matt Prater 41 yard field goal,16,13
,3:27,Lions,Matt Prater 51 yard field goal,19,13
4.0,12:17,Lions,Matt Prater 54 yard field goal,22,13
,9:03,Packers,Allen Lazard 35 yard pass from Aaron Rodgers (Mason Crosby kick),22,20
,0:00,Packers,Mason Crosby 23 yard field goal,22,23
