Unnamed: 0,DET,GNB
First Downs,13,22
Rush-Yds-TDs,20-56-1,29-170-0
Cmp-Att-Yd-TD-INT,18-32-265-0-0,24-39-283-2-1
Sacked-Yards,3-22,1-6
Net Pass Yards,243,277
Total Yards,299,447
Fumbles-Lost,1-0,2-2
Turnovers,0,3
Penalties-Yards,8-50,6-48
Third Down Conv.,3-13,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,26:56,33:04
