Quarter,Time,Tm,Detail,BAL,IND
1.0,9:43,Colts,Marvin Harrison 67 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
,2:43,Colts,Reggie Wayne 22 yard pass from Peyton Manning (Adam Vinatieri kick),0,14
,0:38,Colts,Adam Vinatieri 37 yard field goal,0,17
2.0,1:48,Colts,Marvin Harrison 5 yard pass from Peyton Manning (Adam Vinatieri kick),0,24
3.0,9:25,Colts,Dominic Rhodes 1 yard rush (Adam Vinatieri kick),0,31
,1:15,Ravens,Matt Stover 37 yard field goal,3,31
