Unnamed: 0,BAL,IND
First Downs,16,17
Rush-Yds-TDs,19-51-0,30-76-1
Cmp-Att-Yd-TD-INT,28-38-241-0-3,19-28-271-3-0
Sacked-Yards,4-32,2-13
Net Pass Yards,209,258
Total Yards,260,334
Fumbles-Lost,4-2,2-0
Turnovers,5,0
Penalties-Yards,4-33,11-84
Third Down Conv.,3-11,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,27:56,32:04
