Quarter,Time,Down,ToGo,Location,BAL,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Adam Vinatieri kicks off 75 yards, touchback",0.000,0.280
1,15:00,1,10,BAL 20,0,0,Willis McGahee left tackle for 3 yards (tackle by Melvin Bullitt),0.280,0.140
1,14:25,2,7,BAL 23,0,0,Joe Flacco pass incomplete deep right intended for Derrick Mason,0.140,-0.560
1,14:17,3,7,BAL 23,0,0,Joe Flacco pass incomplete short right intended for Mark Clayton is intercepted by Melvin Bullitt at BAL-32 and returned for 2 yards (tackle by Mark Clayton). Penalty on Jared Gaither: Offensive Holding (Declined),-0.560,-3.580
1,14:09,1,10,BAL 30,0,0,Joseph Addai left tackle for 1 yard (tackle by Bart Scott and Haloti Ngata),3.580,3.170
1,13:43,2,9,BAL 29,0,0,Peyton Manning pass incomplete deep middle intended for Reggie Wayne (defended by Ed Reed),3.170,2.480
1,13:33,3,9,BAL 29,0,0,Peyton Manning sacked by Ray Lewis for -9 yards,2.480,0.720
1,13:03,4,18,BAL 38,0,0,"Hunter Smith punts 27 yards, fair catch by Yamon Figurs",0.720,0.370
1,12:55,1,10,BAL 11,0,0,Willis McGahee up the middle for 5 yards (tackle by Tim Jennings),-0.370,-0.300
1,12:22,2,5,BAL 16,0,0,Willis McGahee right end for no gain (tackle by Eric Foster and Freddie Keiaho),-0.300,-0.840
1,11:37,3,5,BAL 16,0,0,Joe Flacco pass incomplete deep left intended for Mark Clayton,-0.840,-2.390
1,11:31,4,5,BAL 16,0,0,"Sam Koch punts 53 yards, returned by Keiwan Ratliff for 14 yards (tackle by Nick Greisen). Penalty on Marlin Jackson: Offensive Holding, 10 yards",-2.390,-0.340
1,11:19,1,10,IND 21,0,0,Joseph Addai right end for 2 yards (tackle by Haloti Ngata and Trevor Pryce),0.340,0.070
1,10:35,2,8,IND 23,0,0,Peyton Manning pass incomplete short right intended for Marvin Harrison,0.070,-0.630
1,10:31,3,8,IND 23,0,0,Peyton Manning pass complete short left to Reggie Wayne for 10 yards (tackle by Corey Ivy),-0.630,1.140
1,9:52,1,10,IND 33,0,6,"Peyton Manning pass complete deep right to Marvin Harrison for 67 yards, touchdown",1.140,7.000
1,,,,BAL 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Adam Vinatieri kicks off 73 yards, returned by Yamon Figurs for 19 yards (tackle by Melvin Bullitt)",0.000,-0.140
1,9:39,1,10,BAL 16,0,7,Joe Flacco sacked by Raheem Brock for -7 yards,-0.140,-1.290
1,9:11,2,17,BAL 9,0,7,Joe Flacco pass complete short left to Derrick Mason for 6 yards (tackle by Marlin Jackson),-1.290,-1.470
1,8:28,3,11,BAL 15,0,7,"Joe Flacco for no gain. Joe Flacco fumbles, recovered by Ray Rice at BAL-11",-1.470,-2.490
1,7:46,4,15,BAL 11,0,7,"Sam Koch punts 54 yards, returned by Keiwan Ratliff for 4 yards (tackle by Tom Zbikowski)",-2.490,-1.530
1,7:38,1,10,IND 39,0,7,Dominic Rhodes right end for 6 yards (tackle by Chris McAlister),1.530,1.800
1,7:18,2,4,IND 45,0,7,Peyton Manning pass complete short left to Reggie Wayne for 8 yards (tackle by Bart Scott),1.800,2.460
1,6:36,1,10,BAL 47,0,7,Dominic Rhodes left tackle for -1 yards (tackle by Jarret Johnson),2.460,1.780
1,5:56,2,11,BAL 48,0,7,Peyton Manning pass complete short right to Reggie Wayne for 16 yards (tackle by Corey Ivy),1.780,3.450
1,5:29,1,10,BAL 32,0,7,Dominic Rhodes right tackle for 3 yards (tackle by Corey Ivy),3.450,3.310
1,4:49,2,7,BAL 29,0,7,Peyton Manning pass complete short left to Anthony Gonzalez for 5 yards (tackle by Justin Bannan),3.310,3.270
1,4:15,3,2,BAL 24,0,7,Mike Hart up the middle for 2 yards (tackle by Justin Bannan and Marques Douglas),3.270,4.110
1,3:30,1,10,BAL 22,0,7,Dominic Rhodes up the middle for no gain (tackle by Terrell Suggs and Trevor Pryce),4.110,3.560
1,2:54,2,10,BAL 22,0,7,Peyton Manning pass incomplete deep right intended for Marvin Harrison,3.560,2.870
1,2:49,3,10,BAL 22,0,13,"Peyton Manning pass complete deep right to Reggie Wayne for 22 yards, touchdown",2.870,7.000
1,,,,BAL 2,0,14,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,IND 30,0,14,"Adam Vinatieri kicks off 75 yards, returned by Yamon Figurs for 19 yards (tackle by Melvin Bullitt)",0.000,-0.280
1,2:40,1,10,BAL 14,0,14,Joe Flacco pass complete short right to Mark Clayton for 6 yards (tackle by Clint Session),-0.280,0.150
1,2:04,2,4,BAL 20,0,14,"Joe Flacco pass complete short left to Le'Ron McClain for 4 yards (tackle by Raheem Brock). Freddie Keiaho fumbles (forced by Raheem Brock), recovered by Freddie Keiaho at BAL-28",0.150,-3.710
1,1:51,1,10,BAL 28,0,14,Peyton Manning pass incomplete deep left intended for Reggie Wayne,3.710,3.170
1,1:46,2,10,BAL 28,0,14,Dominic Rhodes up the middle for 2 yards (tackle by Jarret Johnson),3.170,2.740
