Unnamed: 0,BAL,SEA
First Downs,13,21
Rush-Yds-TDs,27-106-0,36-144-0
Cmp-Att-Yd-TD-INT,16-33-199-1-0,19-29-202-2-2
Sacked-Yards,2-12,2-10
Net Pass Yards,187,192
Total Yards,293,336
Fumbles-Lost,3-3,0-0
Turnovers,3,2
Penalties-Yards,6-69,0-0
Third Down Conv.,4-15,4-14
Fourth Down Conv.,2-2,0-1
Time of Possession,27:24,32:36
