Unnamed: 0,GNB,NYG
First Downs,25,20
Rush-Yds-TDs,29-83-2,16-94-0
Cmp-Att-Yd-TD-INT,29-38-286-3-1,20-40-244-1-1
Sacked-Yards,1-1,2-13
Net Pass Yards,285,231
Total Yards,368,325
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,8-63,6-71
Third Down Conv.,6-11,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,34:26,25:34
