Unnamed: 0,PIT,JAX
First Downs,23,13
Rush-Yds-TDs,40-219-1,21-102-1
Cmp-Att-Yd-TD-INT,17-27-201-0-1,12-23-146-2-0
Sacked-Yards,2-17,3-22
Net Pass Yards,184,124
Total Yards,403,226
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,4-25,0-0
Third Down Conv.,2-11,3-11
Fourth Down Conv.,1-1,1-1
Time of Possession,38:41,21:19
