Quarter,Time,Down,ToGo,Location,PIT,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Richie Cunningham kicks off 51 yards, returned by Lee Mays for 13 yards (tackle by Joe Tuipala)",0.000,1.070
1,14:56,1,10,PIT 32,0,0,Kordell Stewart pass complete to Hines Ward for 4 yards (tackle by Fernando Bryant),1.070,1.070
1,14:24,2,6,PIT 36,0,0,Kordell Stewart pass complete to Plaxico Burress for 54 yards (tackle by Jason Craft and Marlon McCree),1.070,4.910
1,13:39,1,10,JAX 10,0,0,Kordell Stewart middle for 3 yards (tackle by Rob Meier),4.910,4.760
1,12:57,2,7,JAX 7,0,0,Kordell Stewart pass incomplete intended for Dan Kreider,4.760,3.810
1,12:52,3,7,JAX 7,0,0,Kordell Stewart pass incomplete intended for Hines Ward,3.810,2.970
1,12:47,4,7,JAX 7,3,0,Jeff Reed 25 yard field goal good,2.970,3.000
1,12:47,,,PIT 30,3,0,"Jeff Reed kicks off 59 yards, returned by Elvis Joseph for 9 yards (tackle by Lee Mays)",0.000,0.280
1,12:37,1,10,JAX 20,3,0,Fred Taylor middle for 3 yards (tackle by Chad Scott),0.280,0.140
1,12:00,2,7,JAX 23,3,0,Mark Brunell pass incomplete intended for Bobby Shaw,0.140,-0.560
1,11:56,3,7,JAX 23,3,0,Mark Brunell pass incomplete intended for Kevin Lockett,-0.560,-1.830
1,11:50,4,7,JAX 23,3,0,"Chris Hanson punts 44 yards, returned by Antwaan Randle El for 1 yard (tackle by Elvis Joseph)",-1.830,-1.200
1,11:42,1,10,PIT 34,3,0,Kordell Stewart pass complete to Dan Kreider for 6 yards (tackle by Fernando Bryant),1.200,1.470
1,11:06,2,4,PIT 40,3,0,Jerome Bettis right tackle for 6 yards (tackle by T.J. Slaughter),1.470,1.990
1,10:25,1,10,PIT 46,3,0,Kordell Stewart pass complete to Plaxico Burress for 5 yards (tackle by Fernando Bryant),1.990,2.130
