Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
1,6:12,3,1,LAR 17,0,3,Todd Gurley up the middle for 2 yards (tackle by Shy Tuttle and Vonn Bell),-0.370,0.150
1,5:24,1,10,LAR 19,0,3,Todd Gurley right end for 1 yard (tackle by Cameron Jordan),0.150,-0.200
1,5:05,2,9,LAR 20,0,3,"Jared Goff pass incomplete short right intended for Robert Woods. Penalty on Rob Havenstein: Offensive Holding, 10 yards (no play)",-0.200,-1.440
1,5:01,2,19,LAR 10,0,3,Todd Gurley right tackle for 3 yards (tackle by Marcus Davenport),-1.440,-2.080
1,4:24,3,16,LAR 13,0,3,Jared Goff sacked by Cameron Jordan for -8 yards,-2.080,-2.490
1,3:39,4,24,LAR 5,0,3,"Johnny Hekker punts 51 yards, returned by Deonte Harris for 6 yards (tackle by Travin Howard)",-2.490,-2.260
1,3:29,1,10,NOR 50,0,3,Alvin Kamara up the middle for 4 yards (tackle by Bryce Hager),2.260,2.250
1,2:55,2,6,LAR 46,0,3,Teddy Bridgewater pass complete short right to Jared Cook for 7 yards (tackle by Taylor Rapp and Aqib Talib),2.250,2.980
1,2:18,1,10,LAR 39,0,3,"Teddy Bridgewater pass incomplete short left intended for Jared Cook. Penalty on John Johnson: Illegal Contact, 5 yards (no play)",2.980,3.310
1,2:14,1,10,LAR 34,0,3,Alvin Kamara up the middle for -6 yards (tackle by Aaron Donald),3.310,1.960
1,1:37,2,16,LAR 40,0,3,"Teddy Bridgewater pass complete short right to Josh Hill for 15 yards (tackle by Aqib Talib). Penalty on Erik McCoy: Offensive Holding, 10 yards (no play)",1.960,0.610
1,1:08,2,26,NOR 50,0,3,"Teddy Bridgewater pass complete short middle to Alvin Kamara for 15 yards (tackle by John Johnson). Penalty on Jared Cook: Illegal Block Above the Waist, 10 yards",0.610,1.290
1,0:39,,,,,,Timeout #1 by New Orleans Saints,,
1,0:39,2,21,LAR 45,0,3,Teddy Bridgewater pass complete short right to Deonte Harris for -7 yards (tackle by John Johnson). Penalty on Latavius Murray: Illegal Blindside Block (Declined),1.290,-0.300
1,0:06,3,28,NOR 48,0,3,Teddy Bridgewater pass incomplete short middle,-0.300,-0.190
1,0:02,4,28,NOR 48,0,3,"Thomas Morstead punts 48 yards, returned by Jojo Natson for 10 yards (tackle by Kaden Elliss and Craig Robertson)",-0.190,0.280
Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 14,0,3,Jared Goff pass incomplete short right intended for Todd Gurley,-0.280,-0.750
2,14:55,2,10,LAR 14,0,3,Jared Goff pass complete short left to Todd Gurley for 1 yard (tackle by Demario Davis),-0.750,-1.280
2,14:35,3,9,LAR 15,0,3,Jared Goff pass incomplete short right intended for Josh Reynolds,-1.280,-2.440
2,14:31,4,9,LAR 15,0,3,"Johnny Hekker punts 45 yards, returned by Deonte Harris for 19 yards (tackle by Nick Scott)",-2.440,-2.850
2,14:21,1,10,LAR 41,0,3,Teddy Bridgewater right end for 4 yards (tackle by Eric Weddle),2.850,2.850
2,13:46,2,6,LAR 37,0,3,Latavius Murray right tackle for 4 yards (tackle by Bryce Hager and Michael Brockers),2.850,2.680
2,13:08,3,2,LAR 33,0,3,"Penalty on Andrus Peat: False Start, 5 yards (no play)",2.680,2.020
2,12:46,3,7,LAR 38,0,3,Teddy Bridgewater pass complete short middle to Jared Cook for 18 yards (tackle by Nickell Robey-Coleman),2.020,4.240
2,12:04,1,10,LAR 20,0,3,Alvin Kamara right guard for 4 yards (tackle by Dante Fowler and Tanzel Smart),4.240,4.280
2,11:19,2,6,LAR 16,0,3,Teddy Bridgewater pass incomplete short right intended for Alvin Kamara,4.280,3.520
2,11:15,3,6,LAR 16,0,3,Teddy Bridgewater pass incomplete short right intended for Michael Thomas,3.520,2.400
2,11:10,4,6,LAR 16,3,3,Wil Lutz 34 yard field goal good,2.400,3.000
2,11:06,,,NOR 35,3,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,11:06,1,10,LAR 25,3,3,Malcolm Brown left end for no gain (tackle by David Onyemata),0.610,0.060
2,10:36,2,10,LAR 25,3,3,Jared Goff pass complete short middle to Cooper Kupp for 12 yards (tackle by Vonn Bell),0.060,1.400
2,9:51,1,10,LAR 37,3,3,Jared Goff pass complete short right to Tyler Higbee for 18 yards (tackle by Eli Apple),1.400,2.590
2,9:26,1,10,NOR 45,3,3,Brandin Cooks left end for 2 yards (tackle by Marshon Lattimore),2.590,2.310
2,8:47,2,8,NOR 43,3,3,Jared Goff pass complete short middle to Cooper Kupp for 15 yards (tackle by Eli Apple),2.310,3.710
2,8:09,1,10,NOR 28,3,3,Cooper Kupp right end for 6 yards (tackle by Cameron Jordan),3.710,3.980
2,7:47,2,4,NOR 22,3,3,Jared Goff pass complete short left to Cooper Kupp for no gain (tackle by Marcus Williams),3.980,3.270
2,7:04,3,4,NOR 22,3,3,"Jared Goff pass incomplete short right intended for Robert Woods (defended by Eli Apple). Penalty on Eli Apple: Defensive Pass Interference, 8 yards (no play)",3.270,4.650
2,6:59,1,10,NOR 14,3,3,"Jared Goff pass complete short left to Robert Woods for 14 yards. Penalty on Joseph Noteboom: Illegal Block Above the Waist, 10 yards (no play)",4.650,3.970
2,6:51,1,20,NOR 24,3,3,Jared Goff pass incomplete deep right intended for Tyler Higbee,3.970,2.740
2,6:45,2,20,NOR 24,3,3,Malcolm Brown left end for 13 yards (tackle by A.J. Klein),2.740,3.620
2,6:08,3,7,NOR 11,3,3,"Jared Goff sacked by Trey Hendrickson for -2 yards. Jared Goff fumbles (forced by Trey Hendrickson), recovered by Cameron Jordan at NO-13",3.620,0.320
2,6:02,1,10,NOR 13,3,3,Teddy Bridgewater pass complete short right to Michael Thomas for 7 yards,-0.320,0.220
2,5:31,2,3,NOR 20,3,3,Alvin Kamara right tackle for 4 yards (tackle by Clay Matthews and Nickell Robey-Coleman),0.220,0.540
2,4:49,1,10,NOR 24,3,3,"Teddy Bridgewater sacked by Sebastian Joseph for no gain. Penalty on Sebastian Joseph: Face Mask (15 Yards), 15 yards (no play)",0.540,1.530
2,4:21,1,10,NOR 39,3,3,Latavius Murray right tackle for no gain (tackle by Dante Fowler),1.530,0.990
2,3:39,2,10,NOR 39,3,3,Teddy Bridgewater pass incomplete deep right intended for Alvin Kamara,0.990,0.300
2,3:33,3,10,NOR 39,3,3,Teddy Bridgewater pass complete short middle to Taysom Hill for 9 yards (tackle by Taylor Rapp and Eric Weddle),0.300,-0.190
2,2:47,4,1,NOR 48,3,3,Alvin Kamara right tackle for no gain (tackle by Samson Ebukam and Michael Brockers),-0.190,-2.390
2,2:39,1,10,NOR 48,3,3,Todd Gurley right end for 20 yards (tackle by Marcus Williams and Malcom Brown),2.390,3.710
2,2:00,1,10,NOR 28,3,3,Todd Gurley left end for 3 yards (tackle by David Onyemata),3.710,3.570
2,1:24,2,7,NOR 25,3,3,Jared Goff pass complete short left to Robert Woods for 14 yards (tackle by Vonn Bell),3.570,4.840
2,1:18,1,10,NOR 11,3,3,Todd Gurley right end for 4 yards (tackle by Demario Davis),4.840,4.890
2,0:38,2,6,NOR 7,3,3,Jared Goff pass complete short left to Tyler Higbee for 3 yards (tackle by A.J. Klein and Marshon Lattimore),4.890,4.670
2,0:10,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:10,,,,,,Timeout #2 by New Orleans Saints,,
2,0:10,3,3,NOR 4,3,3,Jared Goff pass incomplete short right intended for Cooper Kupp,4.670,3.030
2,0:07,4,3,NOR 4,3,6,Greg Zuerlein 22 yard field goal good,3.030,3.000
2,0:03,,,LAR 35,3,6,"Greg Zuerlein kicks off 65 yards, muffed catch by Deonte Harris",0.000,1.270
Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 35,3,6,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAR 25,3,6,Jared Goff pass incomplete short middle intended for Cooper Kupp,0.610,0.060
3,14:57,2,10,LAR 25,3,6,Jared Goff pass incomplete short left intended for Cooper Kupp,0.060,-0.620
3,14:54,3,10,LAR 25,3,6,Jared Goff pass complete short left to Todd Gurley for 9 yards (tackle by Alex Anzalone),-0.620,-1.110
3,14:13,4,1,LAR 34,3,6,Johnny Hekker punts 37 yards out of bounds,-1.110,-0.870
3,14:05,1,10,NOR 29,3,6,Teddy Bridgewater pass incomplete short left intended for Jared Cook,0.870,0.330
3,14:02,2,10,NOR 29,3,6,"Penalty on Michael Thomas: False Start, 5 yards (no play)",0.330,-0.350
3,14:02,2,15,NOR 24,3,6,Teddy Bridgewater pass complete short left to Latavius Murray for 16 yards (tackle by Nickell Robey-Coleman),-0.350,1.600
3,13:26,1,10,NOR 40,3,6,Alvin Kamara up the middle for 5 yards (tackle by Eric Weddle),1.600,1.730
3,13:00,2,5,NOR 45,3,6,Teddy Bridgewater pass complete short middle to Michael Thomas for 5 yards (tackle by Eric Weddle),1.730,2.260
3,12:23,1,10,NOR 50,3,6,Alvin Kamara left tackle for 5 yards (tackle by Cory Littleton and John Johnson),2.260,2.390
3,11:49,2,5,LAR 45,3,6,Teddy Bridgewater pass complete short right to Tre'Quan Smith for 7 yards (tackle by Cory Littleton),2.390,3.050
3,11:12,1,10,LAR 38,3,6,Alvin Kamara up the middle for 3 yards (tackle by Bryce Hager),3.050,2.910
3,10:36,2,7,LAR 35,3,6,Teddy Bridgewater pass incomplete short right,2.910,2.210
3,10:29,3,7,LAR 35,3,6,Teddy Bridgewater left end for 1 yard (tackle by Nickell Robey-Coleman),2.210,1.070
3,9:59,4,6,LAR 34,6,6,Wil Lutz 52 yard field goal good,1.070,3.000
3,9:49,,,NOR 35,6,6,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
3,9:49,1,10,LAR 25,6,6,Jared Goff pass complete short right to Brandin Cooks for 15 yards (tackle by Eli Apple),0.610,1.600
3,9:33,1,10,LAR 40,6,6,Todd Gurley left end for 3 yards (tackle by Alex Anzalone),1.600,1.460
3,9:10,2,7,LAR 43,6,6,Jared Goff pass complete short middle to Cooper Kupp for 27 yards (tackle by Marcus Williams),1.460,3.580
3,8:38,1,10,NOR 30,6,6,Jared Goff pass incomplete short right intended for Gerald Everett,3.580,3.030
3,8:34,2,10,NOR 30,6,6,"Penalty on Robert Woods: False Start, 5 yards (no play)",3.030,2.360
3,8:34,2,15,NOR 35,6,6,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",2.360,1.680
3,8:34,2,20,NOR 40,6,6,Jared Goff pass complete short right to Robert Woods for 19 yards (tackle by Eli Apple),1.680,3.530
3,7:53,3,1,NOR 21,6,6,Todd Gurley up the middle for 2 yards (tackle by Cameron Jordan),3.530,4.310
3,7:29,1,10,NOR 19,6,6,Jared Goff pass complete short right to Gerald Everett for 11 yards (tackle by Malcom Brown and Marshon Lattimore),4.310,5.370
3,6:40,1,8,NOR 8,6,6,Todd Gurley up the middle for -1 yards (tackle by Vonn Bell),5.370,4.380
3,6:06,2,9,NOR 9,6,6,"Jared Goff pass complete short right to Robert Woods for 8 yards (tackle by Eli Apple). Penalty on Eli Apple: Illegal Contact, 5 yards (no play)",4.380,6.280
3,5:43,1,4,NOR 4,6,12,"Todd Gurley left end for 4 yards, touchdown",6.280,7.000
3,5:39,,,NOR 15,6,13,Greg Zuerlein kicks extra point good,0.000,0.000
3,5:39,,,LAR 35,6,13,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,5:39,1,10,NOR 25,6,13,Alvin Kamara right end for 4 yards (tackle by Cory Littleton and Nickell Robey-Coleman),0.610,0.600
3,4:59,2,6,NOR 29,6,13,"Teddy Bridgewater sacked by Clay Matthews for -5 yards. Teddy Bridgewater fumbles (forced by Clay Matthews), recovered by Terron Armstead at NO-24 (tackle by Dante Fowler)",0.600,-0.760
3,4:13,3,11,NOR 24,6,13,Teddy Bridgewater sacked by Michael Brockers for -11 yards. Penalty on Larry Warford: Offensive Holding (Declined),-0.760,-2.490
3,3:49,4,22,NOR 13,6,13,"Thomas Morstead punts 45 yards, returned by Jojo Natson for 32 yards (tackle by J.T. Gray)",-2.490,-3.840
3,3:37,1,10,NOR 26,6,13,Malcolm Brown left end for 12 yards (tackle by Eli Apple),3.840,4.650
3,2:52,1,10,NOR 14,6,13,Malcolm Brown right tackle for 2 yards (tackle by David Onyemata),4.650,4.330
3,2:13,2,8,NOR 12,6,13,Jared Goff pass complete short left to Gerald Everett for 8 yards (tackle by Kiko Alonso and Demario Davis),4.330,6.280
3,1:28,1,4,NOR 4,6,13,Malcolm Brown left tackle for 2 yards (tackle by Cameron Jordan),6.280,5.720
3,1:03,2,2,NOR 2,6,19,"Jared Goff pass complete short middle to Brandin Cooks for 2 yards, touchdown",5.720,7.000
3,1:00,,,NOR 15,6,20,Greg Zuerlein kicks extra point good,0.000,0.000
3,1:00,,,LAR 35,6,20,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,1:00,1,10,NOR 25,6,20,Alvin Kamara left end for 12 yards (tackle by Dante Fowler),0.610,1.400
3,0:15,1,10,NOR 37,6,20,"Teddy Bridgewater up the middle for 14 yards. Penalty on Will Clapp: Offensive Holding, 10 yards (no play)",1.400,0.740
Quarter,Time,Down,ToGo,Location,NOR,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,20,NOR 27,6,20,Alvin Kamara left end for 2 yards (tackle by Taylor Rapp),0.740,-0.220
4,14:20,2,18,NOR 29,6,20,Teddy Bridgewater pass complete short right to Michael Thomas for 7 yards (tackle by Eric Weddle and Taylor Rapp),-0.220,0.040
4,13:35,3,11,NOR 36,6,20,Teddy Bridgewater pass complete short right to Michael Thomas for 16 yards (tackle by Cory Littleton),0.040,2.390
4,12:58,1,10,LAR 48,6,20,Teddy Bridgewater pass complete short right to Tre'Quan Smith for 28 yards (tackle by Eric Weddle),2.390,4.240
4,12:25,1,10,LAR 20,6,20,"Teddy Bridgewater right end for 3 yards (tackle by Sebastian Joseph). Penalty on Ryan Ramczyk: Offensive Holding, 10 yards (no play)",4.240,3.580
4,11:58,1,20,LAR 30,6,20,Teddy Bridgewater pass complete short middle to Michael Thomas for 6 yards (tackle by Eric Weddle),3.580,3.150
4,11:16,2,14,LAR 24,6,20,Teddy Bridgewater pass incomplete short middle intended for Zach Line (defended by Cory Littleton),3.150,2.480
4,11:09,3,14,LAR 24,6,20,Teddy Bridgewater pass incomplete short left intended for Jared Cook (defended by Taylor Rapp),2.480,1.870
4,11:02,4,14,LAR 24,9,20,Wil Lutz 42 yard field goal good,1.870,3.000
4,10:58,,,NOR 35,9,20,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
4,10:58,1,10,LAR 25,9,20,Malcolm Brown right guard for 8 yards (tackle by Mario Edwards and A.J. Klein),0.610,1.140
4,10:18,2,2,LAR 33,9,20,"Jared Goff pass complete short left to Robert Woods for 6 yards (tackle by Demario Davis). Penalty on Rob Havenstein: Offensive Holding, 10 yards (no play)",1.140,-0.210
4,9:49,2,12,LAR 23,9,20,Jared Goff pass complete short middle to Malcolm Brown for 10 yards (tackle by P.J. Williams),-0.210,0.430
4,9:08,3,2,LAR 33,9,20,Jared Goff pass complete short left to Cooper Kupp for 66 yards (tackle by A.J. Klein),0.430,6.970
4,8:39,1,1,NOR 1,9,26,"Jared Goff up the middle for 1 yard, touchdown",6.970,7.000
4,8:37,,,NOR 15,9,27,Greg Zuerlein kicks extra point good,0.000,0.000
4,8:37,,,LAR 35,9,27,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
4,8:37,1,10,NOR 25,9,27,"Teddy Bridgewater pass complete short right to Alvin Kamara for 3 yards (tackle by John Johnson). Penalty on Terron Armstead: Offensive Holding, 10 yards (no play)",0.610,-0.410
4,8:24,1,20,NOR 15,9,27,Alvin Kamara right guard for 6 yards (tackle by Dante Fowler),-0.410,-0.480
4,7:52,2,14,NOR 21,9,27,Teddy Bridgewater pass complete short middle to Michael Thomas for 10 yards (tackle by Taylor Rapp and John Johnson),-0.480,0.170
4,7:13,3,4,NOR 31,9,27,Teddy Bridgewater pass complete short middle to Taysom Hill for 7 yards (tackle by John Johnson),0.170,1.470
4,6:41,1,10,NOR 38,9,27,Teddy Bridgewater pass complete short middle to Michael Thomas for 11 yards (tackle by Cory Littleton and Taylor Rapp),1.470,2.190
4,6:02,1,10,NOR 49,9,27,Teddy Bridgewater pass incomplete deep middle intended for Michael Thomas (defended by Cory Littleton),2.190,1.650
4,5:58,2,10,NOR 49,9,27,"Teddy Bridgewater pass incomplete short left. Penalty on Teddy Bridgewater: Intentional Grounding, 10 yards",1.650,-0.360
4,5:54,3,20,NOR 39,9,27,Teddy Bridgewater pass incomplete short middle intended for Taysom Hill (defended by Nickell Robey-Coleman),-0.360,-0.780
4,5:50,4,20,NOR 39,9,27,"Thomas Morstead punts 50 yards, fair catch by Jojo Natson at LA-11",-0.780,0.370
4,5:43,1,10,LAR 11,9,27,Todd Gurley left tackle for no gain (tackle by Trey Hendrickson),-0.370,-0.780
4,4:57,2,10,LAR 11,9,27,Todd Gurley left tackle for 9 yards (tackle by Eli Apple),-0.780,-0.370
4,4:15,3,1,LAR 20,9,27,Todd Gurley left tackle for 6 yards (tackle by Chauncey Gardner-Johnson),-0.370,0.670
4,3:30,1,10,LAR 26,9,27,Todd Gurley right end for 1 yard (tackle by Vonn Bell and A.J. Klein),0.670,0.270
4,3:24,,,,,,Timeout #1 by New Orleans Saints,,
4,3:24,2,9,LAR 27,9,27,Jared Goff sacked by Marcus Davenport for -8 yards,0.270,-1.580
4,2:39,3,17,LAR 19,9,27,Todd Gurley left guard for 2 yards (tackle by David Onyemata and Marcus Davenport),-1.580,-1.960
4,2:35,,,,,,Timeout #2 by New Orleans Saints,,
4,2:35,4,15,LAR 21,9,27,"Johnny Hekker punts 66 yards, returned by Deonte Harris for 9 yards (tackle by Nick Scott)",-1.960,-0.410
4,2:22,1,10,NOR 22,9,27,Teddy Bridgewater pass incomplete short right intended for Jared Cook,0.410,-0.130
4,2:17,2,10,NOR 22,9,27,Teddy Bridgewater pass complete short left to Michael Thomas for 3 yards (tackle by Cory Littleton),-0.130,-0.430
4,1:58,3,7,NOR 25,9,27,Teddy Bridgewater pass incomplete short left intended for Michael Thomas (defended by Marcus Peters). Penalty on Michael Thomas: Offensive Pass Interference (Declined),-0.430,-1.700
4,1:53,4,7,NOR 25,9,27,"Thomas Morstead punts 55 yards, fair catch by Jojo Natson at LA-20",-1.700,-0.280
4,1:47,1,10,LAR 20,9,27,Jared Goff kneels for -1 yards,0.280,-0.460
4,1:06,2,11,LAR 19,9,27,Jared Goff kneels for -1 yards,-0.460,-1.330
4,0:36,3,12,LAR 18,9,27,Jared Goff kneels for -1 yards,-1.330,-2.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
