Quarter,Time,Tm,Detail,NOR,LAR
1.0,8:42,Rams,Greg Zuerlein 24 yard field goal,0,3
2.0,11:06,Saints,Wil Lutz 34 yard field goal,3,3
,0:03,Rams,Greg Zuerlein 22 yard field goal,3,6
3.0,9:49,Saints,Wil Lutz 52 yard field goal,6,6
,5:39,Rams,Todd Gurley 4 yard rush (Greg Zuerlein kick),6,13
,1:00,Rams,Brandin Cooks 2 yard pass from Jared Goff (Greg Zuerlein kick),6,20
4.0,10:58,Saints,Wil Lutz 42 yard field goal,9,20
,8:37,Rams,Jared Goff 1 yard rush (Greg Zuerlein kick),9,27
