Unnamed: 0,NOR,LAR
First Downs,15,20
Rush-Yds-TDs,20-57-0,30-115-2
Cmp-Att-Yd-TD-INT,20-35-203-0-1,19-28-283-1-0
Sacked-Yards,2-16,3-18
Net Pass Yards,187,265
Total Yards,244,380
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,11-87,8-65
Third Down Conv.,4-13,5-13
Fourth Down Conv.,0-1,0-0
Time of Possession,29:39,30:21
