Quarter,Time,Tm,Detail,SFO,IND
1.0,11:16,49ers,Frank Gore 64 yard rush (Joe Nedney kick),7,0
,3:16,Colts,Matt Stover 38 yard field goal,7,3
2.0,14:50,Colts,Matt Stover 33 yard field goal,7,6
,0:33,49ers,Vernon Davis 8 yard pass from Alex Smith (Joe Nedney kick),14,6
,0:01,Colts,Matt Stover 31 yard field goal,14,9
3.0,9:34,Colts,Matt Stover 40 yard field goal,14,12
4.0,14:53,Colts,Reggie Wayne 22 yard pass from Joseph Addai (pass failed),14,18
