Unnamed: 0,SFO,IND
First Downs,16,20
Rush-Yds-TDs,18-113-1,21-61-0
Cmp-Att-Yd-TD-INT,19-32-198-1-1,32-49-369-1-0
Sacked-Yards,4-16,3-20
Net Pass Yards,182,349
Total Yards,295,410
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,7-50,5-38
Third Down Conv.,2-10,8-19
Fourth Down Conv.,0-0,1-1
Time of Possession,26:26,33:34
