Quarter,Time,Tm,Detail,PIT,BUF
1.0,7:02,Bills,Dawson Knox 9 yard pass from Josh Allen (Tyler Bass kick),0,7
,4:10,Bills,Dalton Kincaid 29 yard pass from Josh Allen (Tyler Bass kick),0,14
2.0,7:13,Bills,Josh Allen 52 yard rush (Tyler Bass kick),0,21
,1:39,Steelers,Diontae Johnson 10 yard pass from Mason Rudolph (Chris Boswell kick),7,21
3.0,8:50,Steelers,Chris Boswell 40 yard field goal,10,21
,1:32,Bills,Tyler Bass 45 yard field goal,10,24
4.0,10:32,Steelers,Calvin Austin 7 yard pass from Mason Rudolph (Chris Boswell kick),17,24
,6:27,Bills,Khalil Shakir 17 yard pass from Josh Allen (Tyler Bass kick),17,31
