0,1
Game Info,Game Info
Won Toss,Bills (deferred)
Roof,outdoors
Surface,a_turf
Duration,3:10
Attendance,70040
Weather,"17 degrees, relative humidity 57%, wind 10 mph"
Vegas Line,Buffalo Bills -10.0
Over/Under,38.0 (over)
