Unnamed: 0,PIT,BUF
First Downs,22,24
Rush-Yds-TDs,23-106-0,34-179-1
Cmp-Att-Yd-TD-INT,22-39-229-2-1,21-30-203-3-0
Sacked-Yards,1-11,2-14
Net Pass Yards,218,189
Total Yards,324,368
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,6-50,2-24
Third Down Conv.,5-11,5-12
Fourth Down Conv.,0-1,1-1
Time of Possession,26:41,33:19
