Unnamed: 0,TAM,SEA
First Downs,29,31
Rush-Yds-TDs,26-99-2,22-145-0
Cmp-Att-Yd-TD-INT,29-44-335-2-0,29-43-378-5-0
Sacked-Yards,2-16,3-31
Net Pass Yards,319,347
Total Yards,418,492
Fumbles-Lost,1-1,2-1
Turnovers,1,1
Penalties-Yards,10-82,4-45
Third Down Conv.,6-14,2-8
Fourth Down Conv.,1-1,0-0
Time of Possession,35:25,28:13
