Quarter,Time,Tm,Detail,TAM,SEA
1,11:30,Buccaneers,Ronald Jones II 8 yard rush (Matt Gay kick),7,0
,8:23,Seahawks,Tyler Lockett 19 yard pass from Russell Wilson (Jason Myers kick),7,7
,0:48,Buccaneers,Breshad Perriman 15 yard pass from Jameis Winston (Matt Gay kick),14,7
2,4:32,Buccaneers,Mike Evans 5 yard pass from Jameis Winston (Matt Gay kick),21,7
,0:29,Seahawks,Jacob Hollister 1 yard pass from Russell Wilson (Jason Myers kick failed),21,13
3,8:03,Seahawks,Tyler Lockett 2 yard pass from Russell Wilson (D.K. Metcalf pass from Russell Wilson),21,21
,3:18,Buccaneers,Matt Gay 41 yard field goal,24,21
4,14:26,Seahawks,Jason Myers 37 yard field goal,24,24
,8:19,Seahawks,Jason Myers 22 yard field goal,24,27
,5:22,Buccaneers,Matt Gay 45 yard field goal,27,27
,4:25,Seahawks,D.K. Metcalf 53 yard pass from Russell Wilson (Jason Myers kick),27,34
,0:46,Buccaneers,Dare Ogunbowale 1 yard rush (Matt Gay kick),34,34
OT,6:22,Seahawks,Jacob Hollister 10 yard pass from Russell Wilson,34,40
