Unnamed: 0,BAL,CIN
First Downs,15,25
Rush-Yds-TDs,31-148-0,29-78-1
Cmp-Att-Yd-TD-INT,10-19-115-2-0,30-46-308-2-1
Sacked-Yards,3-16,1-5
Net Pass Yards,99,303
Total Yards,247,381
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,8-79,3-30
Third Down Conv.,6-13,6-16
Fourth Down Conv.,1-1,4-5
Time of Possession,27:34,32:26
