Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,Joe Burrow pass complete short right to Tyler Boyd for 13 yards (tackle by C.J. Mosley and Lamarcus Joyner),0.610,1.470
1,14:26,1,10,CIN 38,0,0,Joe Burrow pass complete short right to Tee Higgins for 6 yards (tackle by Sauce Gardner),1.470,1.730
1,13:56,2,4,CIN 44,0,0,Joe Burrow pass incomplete deep left intended for Ja'Marr Chase,1.730,1.020
1,13:47,3,4,CIN 44,0,0,"Penalty on CIN: Delay of Game, 5 yards (accepted) (no play)",1.020,0.370
1,13:47,3,9,CIN 39,0,0,Joe Burrow pass complete deep left to Tee Higgins for 19 yards (tackle by D.J. Reed),0.370,2.790
1,13:14,1,10,NYJ 42,0,0,Joe Burrow pass complete short right to Tee Higgins for 14 yards (tackle by C.J. Mosley),2.790,3.710
1,12:36,1,10,NYJ 28,0,0,Joe Mixon right end for -5 yards (tackle by Jermaine Johnson),3.710,2.490
1,12:00,2,15,NYJ 33,0,0,Joe Burrow pass complete short left to Joe Mixon for 7 yards (tackle by D.J. Reed),2.490,2.740
1,11:20,3,8,NYJ 26,0,0,Joe Burrow pass complete short right to Tyler Boyd for 22 yards (tackle by C.J. Mosley and Lamarcus Joyner),2.740,6.280
1,10:35,1,4,NYJ 4,0,0,"Joe Burrow pass complete short middle to Tyler Boyd for no gain, touchdown. Penalty on Cordell Volson: Offensive Holding, 10 yards (accepted) (no play)",6.280,4.440
1,10:31,1,14,NYJ 14,0,0,Joe Burrow pass complete short left to Joe Mixon for 2 yards (tackle by C.J. Mosley),4.440,3.860
1,9:50,2,12,NYJ 12,0,0,"Joe Burrow pass incomplete short right intended for Tee Higgins (defended by D.J. Reed) CIN challenged the pass completion ruling, and the play was upheld.",3.860,3.100
1,9:45,3,12,NYJ 12,6,0,"Joe Burrow pass complete to Samaje Perine for 12 yards, touchdown",3.100,7.000
1,9:35,,,NYJ 15,7,0,Evan McPherson kicks extra point good,0.000,0.000
1,9:35,,,CIN 35,7,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,9:30,1,10,NYJ 25,7,0,"Joe Flacco pass incomplete short right intended for Garrett Wilson. Penalty on Chidobe Awuzie: Defensive Holding, 5 yards (accepted) (no play)",0.610,0.940
1,9:29,1,10,NYJ 30,7,0,Michael Carter right guard for 2 yards (tackle by Sam Hubbard),0.940,0.660
1,8:57,2,8,NYJ 32,7,0,Michael Carter up the middle for 8 yards (tackle by Chidobe Awuzie),0.660,1.600
1,8:18,1,10,NYJ 40,7,0,Joe Flacco pass complete short left to Elijah Moore for 5 yards (tackle by Chidobe Awuzie),1.600,1.730
1,7:44,2,5,NYJ 45,7,0,Joe Flacco pass complete short left to Garrett Wilson for -1 yards (tackle by Vonn Bell),1.730,0.890
1,7:07,3,6,NYJ 44,7,0,Joe Flacco pass complete deep left to Garrett Wilson for 23 yards (tackle by Vonn Bell),0.890,3.380
1,6:31,1,10,CIN 33,7,0,Breece Hall right guard for 3 yards (tackle by Akeem Davis-Gaither and Logan Wilson),3.380,3.240
1,5:51,2,7,CIN 30,7,0,Braxton Berrios right end for -2 yards (tackle by Akeem Davis-Gaither),3.240,2.280
1,5:12,3,9,CIN 32,7,0,Joe Flacco pass incomplete short right intended for Breece Hall,2.280,1.240
1,5:08,4,9,CIN 32,7,3,Greg Zuerlein 50 yard field goal good,1.240,3.000
1,5:04,,,NYJ 35,7,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,5:04,1,10,CIN 25,7,3,Joe Mixon up the middle for 4 yards (tackle by Sheldon Rankins),0.610,0.600
1,4:33,2,6,CIN 29,7,3,Joe Burrow pass complete short right to Tee Higgins for 9 yards (tackle by Sauce Gardner and C.J. Mosley),0.600,1.470
1,3:54,1,10,CIN 38,7,3,"Joe Burrow pass complete short right to Ja'Marr Chase for 3 yards. Ja'Marr Chase fumbles, recovered by C.J. Mosley at CIN-43 (tackle by Ja'Marr Chase)",1.470,-2.720
1,3:45,1,10,CIN 43,7,3,Joe Flacco pass complete deep right to Elijah Moore for 16 yards (tackle by Chidobe Awuzie),2.720,3.780
1,3:09,1,10,CIN 27,7,3,Michael Carter right end for 4 yards (tackle by Mike Hilton),3.780,3.770
1,2:35,2,6,CIN 23,7,3,Michael Carter up the middle for 1 yard (tackle by D.J. Reader and Mike Hilton),3.770,3.200
1,1:58,3,5,CIN 22,7,3,Joe Flacco pass incomplete deep left intended for Elijah Moore (defended by Chidobe Awuzie),3.200,2.040
1,1:52,4,5,CIN 22,7,6,Greg Zuerlein 40 yard field goal good,2.040,3.000
1,1:49,,,NYJ 35,7,6,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,1:49,1,10,CIN 25,7,6,Joe Mixon up the middle for 1 yard (tackle by Quincy Williams and Jordan Whitehead),0.610,0.200
1,1:05,2,9,CIN 26,7,6,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,0.200,-0.490
1,0:59,3,9,CIN 26,7,6,"Joe Burrow pass incomplete short right intended for Samaje Perine. Penalty on John Franklin-Myers: Roughing the Passer, 15 yards (accepted) (no play)",-0.490,1.660
1,0:50,1,10,CIN 41,7,6,Joe Mixon up the middle for 3 yards (tackle by Jermaine Johnson),1.660,1.530
1,0:12,2,7,CIN 44,7,6,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Sauce Gardner),1.530,0.830
1,0:05,,,,,,Timeout #2 by Cincinnati Bengals,,
1,0:05,3,7,CIN 44,13,6,"Joe Burrow pass complete short middle to Tyler Boyd for 56 yards, touchdown",0.830,7.000
1,0:00,,,NYJ 15,14,6,Evan McPherson kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,CIN,NYJ,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,CIN 35,14,6,"Evan McPherson kicks off 70 yards, returned by Braxton Berrios for 20 yards (tackle by Clay Johnston and Stanley Morgan)",0.000,-0.220
2,14:56,1,10,NYJ 15,14,6,Breece Hall up the middle for 2 yards (tackle by Zachary Carter and Logan Wilson),-0.220,-0.440
2,14:29,2,8,NYJ 17,14,6,Joe Flacco pass complete short right to Corey Davis for 5 yards (tackle by Logan Wilson),-0.440,-0.510
2,13:51,3,3,NYJ 22,14,6,Joe Flacco pass complete short middle to Breece Hall for 18 yards (tackle by Akeem Davis-Gaither),-0.510,1.600
