Unnamed: 0,CIN,NYJ
First Downs,20,19
Rush-Yds-TDs,28-69-0,20-76-0
Cmp-Att-Yd-TD-INT,23-36-275-3-0,28-52-285-0-2
Sacked-Yards,2-14,4-33
Net Pass Yards,261,252
Total Yards,330,328
Fumbles-Lost,2-1,3-2
Turnovers,1,4
Penalties-Yards,5-30,4-55
Third Down Conv.,7-14,7-18
Fourth Down Conv.,0-1,0-3
Time of Possession,32:24,27:36
