Quarter,Time,Tm,Detail,STL,ARI
1.0,13:24,Rams,Tavon Austin 12 yard pass from Nick Foles (Greg Zuerlein kick),7,0
,4:13,Cardinals,Chandler Catanzaro 21 yard field goal,7,3
2.0,10:45,Cardinals,Chandler Catanzaro 27 yard field goal,7,6
,3:16,Rams,Greg Zuerlein 30 yard field goal,10,6
,1:13,Cardinals,Chandler Catanzaro 42 yard field goal,10,9
3.0,5:44,Rams,Stedman Bailey 18 yard pass from Nick Foles (Greg Zuerlein kick),17,9
,1:13,Cardinals,Chandler Catanzaro 38 yard field goal,17,12
4.0,11:57,Cardinals,Chandler Catanzaro 29 yard field goal,17,15
,8:16,Rams,Tavon Austin 12 yard pass from Nick Foles (Greg Zuerlein kick),24,15
,4:38,Cardinals,David Johnson 23 yard pass from Carson Palmer (Chandler Catanzaro kick),24,22
