Unnamed: 0,STL,ARI
First Downs,13,26
Rush-Yds-TDs,26-164-0,21-113-0
Cmp-Att-Yd-TD-INT,16-24-171-3-0,29-46-352-1-1
Sacked-Yards,1-7,4-18
Net Pass Yards,164,334
Total Yards,328,447
Fumbles-Lost,1-0,3-2
Turnovers,0,3
Penalties-Yards,7-66,3-20
Third Down Conv.,5-13,2-11
Fourth Down Conv.,0-0,1-2
Time of Possession,26:47,33:13
