Unnamed: 0,NYG,NWE
First Downs,26,12
Rush-Yds-TDs,24-76-0,31-129-1
Cmp-Att-Yd-TD-INT,35-59-314-0-4,8-21-112-0-0
Sacked-Yards,2-8,2-21
Net Pass Yards,306,91
Total Yards,382,220
Fumbles-Lost,2-1,0-0
Turnovers,5,0
Penalties-Yards,8-50,10-110
Third Down Conv.,7-17,1-11
Fourth Down Conv.,0-2,0-0
Time of Possession,35:13,24:47
