Quarter,Time,Tm,Detail,NYG,NWE
1.0,12:24,Patriots,Matt Chatham 38 yard defensive fumble return (Adam Vinatieri kick),0,7
,8:09,Giants,Brett Conway 22 yard field goal,3,7
3.0,10:39,Patriots,Adam Vinatieri 28 yard field goal,3,10
,4:22,Patriots,Mike Cloud 1 yard rush (Adam Vinatieri kick),3,17
4.0,13:42,Giants,Brett Conway 34 yard field goal,6,17
