Quarter,Time,Down,ToGo,Location,NYG,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Adam Vinatieri kicks off 67 yards, returned by Brian Mitchell for 26 yards (tackle by Chris Akins)",0.000,0.870
1,14:54,1,10,NYG 29,0,0,Kerry Collins pass incomplete intended for Ike Hilliard is intercepted by Tyrone Poole at NYG-41 and returned for 13 yards (tackle by Luke Petitgout),0.870,-3.710
1,14:46,1,10,NYG 28,0,0,Mike Cloud left end for 1 yard (tackle by Micheal Barrow),3.710,3.300
1,14:19,2,9,NYG 27,0,0,Mike Cloud left guard for 13 yards (tackle by Micheal Barrow and Omar Stoutmire),3.300,4.650
1,13:41,1,10,NYG 14,0,0,Tom Brady pass incomplete intended for Bethel Johnson,4.650,4.000
1,13:38,2,10,NYG 14,0,0,"Tom Brady pass complete to Mike Cloud for 12 yards (tackle by Shaun Williams). Penalty on Joe Andruzzi: Offensive Holding, 10 yards (no play)",4.000,2.740
1,13:20,2,20,NYG 24,0,0,Tom Brady pass incomplete intended for Mike Cloud,2.740,2.080
1,13:17,3,20,NYG 24,0,0,Tom Brady pass incomplete intended for Christian Fauria,2.080,1.870
1,13:11,4,20,NYG 24,0,0,Adam Vinatieri 42 yard field goal no good,1.870,-1.070
1,13:06,1,10,NYG 32,0,0,Kerry Collins pass complete to Amani Toomer for 10 yards (tackle by Tyrone Poole),1.070,1.730
1,12:33,1,10,NYG 42,0,6,"Tiki Barber left end for -4 yards (tackle by Tyrone Poole). Tiki Barber fumbles (forced by Tyrone Poole), recovered by Matt Chatham at NYG-38 and returned for 38 yards, touchdown. Penalty on Rodney Harrison: Unnecessary Roughness, 15 yards",1.730,-7.000
1,,,,NYG 2,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
1,,,,NWE 15,0,7,"Adam Vinatieri kicks off 72 yards, muffed by Brian Mitchell, recovered by Brian Mitchell at NYG-13, and returned for 19 yards",0.000,1.070
1,12:18,1,10,NYG 32,0,7,Kerry Collins pass complete to Jeremy Shockey for 6 yards (tackle by Ty Law),1.070,1.340
1,11:39,2,4,NYG 38,0,7,"Penalty on Tiki Barber: False Start, 5 yards (no play)",1.340,0.660
1,11:32,2,9,NYG 33,0,7,Kerry Collins pass complete to Marcellus Rivers for 27 yards (tackle by Tedy Bruschi),0.660,2.920
1,10:55,1,10,NWE 40,0,7,Kerry Collins pass complete to Tiki Barber for 4 yards (tackle by Matt Chatham),2.920,2.910
1,10:19,2,6,NWE 36,0,7,Tiki Barber left guard for 5 yards (tackle by Bobby Hamilton),2.910,2.870
1,9:51,3,1,NWE 31,0,7,Tiki Barber left tackle for 5 yards (tackle by Roman Phifer),2.870,3.840
1,9:17,1,10,NWE 26,0,7,Kerry Collins pass complete to Jeremy Shockey for 23 yards (tackle by Rodney Harrison),3.840,6.510
1,9:00,1,3,NWE 3,0,7,Tiki Barber up the middle for -1 yards (tackle by Tedy Bruschi and Rodney Harrison),6.510,5.340
1,8:20,2,4,NWE 4,0,7,Kerry Collins pass incomplete intended for Amani Toomer,5.340,4.490
1,8:16,3,4,NWE 4,0,7,Kerry Collins pass incomplete intended for Tiki Barber,4.490,3.030
1,8:13,4,4,NWE 4,3,7,Brett Conway 22 yard field goal good,3.030,3.000
1,,,,NYG 30,3,7,"Brett Conway kicks off 56 yards, returned by Bethel Johnson for 20 yards (tackle by Will Allen)",0.000,1.200
1,8:02,1,10,NWE 34,3,7,David Patten left end for 4 yards (tackle by Cornelius Griffin and Will Allen),1.200,1.200
1,7:18,2,6,NWE 38,3,7,Tom Brady pass incomplete intended for Bethel Johnson,1.200,0.500
1,7:16,3,6,NWE 38,3,7,"Tom Brady pass complete to Troy Brown for 10 yards (tackle by Will Allen). Penalty on Bethel Johnson: Offensive Pass Interference, 10 yards (no play)",0.500,-0.820
1,6:46,3,16,NWE 28,3,7,Tom Brady pass incomplete intended for David Patten,-0.820,-1.500
1,6:40,4,16,NWE 28,3,7,"Ken Walter punts 49 yards, returned by Brian Mitchell for 8 yards (tackle by Antwan Harris)",-1.500,-1.000
1,6:31,1,10,NYG 31,3,7,Tiki Barber up the middle for 1 yard (tackle by Roman Phifer and Ty Warren),1.000,0.600
1,6:01,2,9,NYG 32,3,7,Kerry Collins pass complete to Tiki Barber for 8 yards (tackle by Ty Law),0.600,0.960
1,5:21,3,1,NYG 40,3,7,Tiki Barber up the middle for -4 yards (tackle by Rodney Harrison),0.960,-0.980
