Quarter,Time,Tm,Detail,NYJ,WAS
1.0,8:56,Redskins,John Hall 50 yard field goal,0,3
,1:59,Jets,LaMont Jordan 1 yard rush (Doug Brien kick),7,3
2.0,8:21,Redskins,Darnerien McCants 4 yard pass from Patrick Ramsey (John Hall kick),7,10
,2:41,Redskins,John Hall 22 yard field goal,7,13
3.0,7:35,Jets,Doug Brien 30 yard field goal,10,13
4.0,8:13,Jets,Doug Brien 41 yard field goal,13,13
,0:05,Redskins,John Hall 33 yard field goal,13,16
