Quarter,Time,Down,ToGo,Location,NYJ,WAS,Detail,EPB,EPA
1,3:20,1,2,WAS 2,0,3,Vinny Testaverde pass incomplete intended for Jerald Sowell,6.740,5.720
1,3:14,2,2,WAS 2,0,3,LaMont Jordan up the middle for no gain (tackle by Jermaine Haley),5.720,4.950
1,2:39,3,2,WAS 2,0,3,LaMont Jordan right guard for 1 yard (tackle by Kevin Mitchell),4.950,3.550
1,2:02,,,,0,3,Timeout #2 by New York Jets,0.000,3.550
1,2:02,4,1,WAS 1,6,3,"LaMont Jordan up the middle for 1 yard, touchdown",3.550,7.000
1,,,,WAS 2,7,3,Doug Brien kicks extra point good,0.000,0.000
1,,,,NYJ 30,7,3,"Doug Brien kicks off 64 yards, returned by Chad Morton for 20 yards (tackle by Victor Hobson)",0.000,0.670
1,1:54,1,10,WAS 26,7,3,Patrick Ramsey pass complete to Rod Gardner for 2 yards (tackle by Aaron Beasley),0.670,0.400
1,1:19,2,8,WAS 28,7,3,Patrick Ramsey pass complete to Laveranues Coles for 10 yards (tackle by Donnie Abraham),0.400,1.470
1,0:39,1,10,WAS 38,7,3,Ladell Betts right end for 11 yards (tackle by Donnie Abraham),1.470,2.190
Quarter,Time,Down,ToGo,Location,NYJ,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 49,7,3,Ladell Betts left end for 9 yards (tackle by Sam Garnes),2.190,2.860
2,14:28,2,1,NYJ 42,7,3,Ladell Betts left end for 5 yards (tackle by Mo Lewis),2.860,3.120
2,13:42,1,10,NYJ 37,7,3,Ladell Betts right guard for -2 yards (tackle by John Abraham),3.120,2.300
2,13:01,2,12,NYJ 39,7,3,Patrick Ramsey pass complete to Rod Gardner for 10 yards (tackle by Donnie Abraham),2.300,2.940
2,12:22,3,2,NYJ 29,7,3,Chad Morton left end for 1 yard (tackle by Sam Cowart),2.940,1.720
2,11:35,4,1,NYJ 28,7,3,Ladell Betts left guard for 1 yard (tackle by Sam Cowart),1.720,3.780
2,10:59,1,10,NYJ 27,7,3,Trung Canidate up the middle for 3 yards (tackle by James Reed),3.780,3.640
2,10:18,2,7,NYJ 24,7,3,Patrick Ramsey pass complete to Robert Royal for 20 yards (tackle by Jon McGraw),3.640,6.280
2,9:50,1,4,NYJ 4,7,3,Ladell Betts left tackle for 2 yards (tackle by Sam Cowart),6.280,5.720
2,9:11,2,2,NYJ 2,7,3,Ladell Betts left guard for -2 yards (tackle by Jason Ferguson),5.720,4.490
2,8:30,3,4,NYJ 4,7,9,"Patrick Ramsey pass complete to Darnerien McCants for 4 yards, touchdown",4.490,7.000
2,,,,NYJ 2,7,10,John Hall kicks extra point good,0.000,0.000
2,,,,WAS 30,7,10,"John Hall kicks off 66 yards, returned by Albert Johnson for 29 yards (tackle by Rashad Bauman). Penalty on Rashad Bauman: Face Mask (15 Yards), 15 yards",0.000,2.130
2,8:14,1,10,NYJ 48,7,10,Vinny Testaverde pass complete to Wayne Chrebet for 12 yards (tackle by Fred Smoot),2.130,2.920
2,7:41,1,10,WAS 40,7,10,Curtis Martin left end for 3 yards (tackle by Champ Bailey and LaVar Arrington),2.920,2.780
2,7:06,2,7,WAS 37,7,10,Vinny Testaverde pass incomplete intended for Santana Moss (defended by Ifeanyi Ohalete),2.780,2.080
2,6:56,3,7,WAS 37,7,10,Vinny Testaverde pass incomplete intended for Wayne Chrebet,2.080,0.790
2,6:50,4,7,WAS 37,7,10,Dan Stryzinski punts 25 yards,0.790,0.350
2,6:43,1,10,WAS 12,7,10,Trung Canidate up the middle for 3 yards (tackle by Dewayne Robertson and Marvin Jones),-0.350,-0.500
2,5:46,2,7,WAS 15,7,10,Patrick Ramsey pass complete to Laveranues Coles for 48 yards (tackle by Donnie Abraham),-0.500,3.120
2,5:40,1,10,NYJ 37,7,10,Trung Canidate up the middle for 3 yards (tackle by Mo Lewis),3.120,2.980
2,5:06,2,7,NYJ 34,7,10,Patrick Ramsey pass complete to Laveranues Coles for 22 yards (tackle by Tyrone Carter),2.980,4.780
2,4:29,1,10,NYJ 12,7,10,Ladell Betts left tackle for 5 yards (tackle by Sam Cowart),4.780,5.020
2,3:46,2,5,NYJ 7,7,10,Patrick Ramsey sacked by Shaun Ellis for -1 yards,5.020,3.930
2,3:27,,,,7,10,Timeout #1 by Washington Redskins,0.000,3.930
2,3:27,3,6,NYJ 8,7,10,Patrick Ramsey pass complete to Ladell Betts for 4 yards (tackle by Ray Mickens),3.930,3.040
2,2:47,4,2,NYJ 4,7,13,John Hall 22 yard field goal good,3.040,3.000
2,,,,WAS 30,7,13,"John Hall kicks off 70 yards, touchback",0.000,0.280
2,2:41,1,10,NYJ 20,7,13,Curtis Martin right end for 5 yards (tackle by Ifeanyi Ohalete),0.280,0.410
2,2:16,2,5,NYJ 25,7,13,Vinny Testaverde pass incomplete intended for Anthony Becht,0.410,-0.300
2,2:13,3,5,NYJ 25,7,13,Vinny Testaverde pass complete to Curtis Conway for 11 yards (tackle by Champ Bailey),-0.300,1.330
2,2:00,1,10,NYJ 36,7,13,Curtis Martin up the middle for 1 yard (tackle by Jeremiah Trotter),1.330,0.930
2,1:56,2,9,NYJ 37,7,13,Vinny Testaverde pass incomplete intended for Curtis Conway (defended by Ifeanyi Ohalete),0.930,0.230
2,1:33,3,9,NYJ 37,7,13,Vinny Testaverde pass complete to Santana Moss for 7 yards (tackle by Champ Bailey),0.230,-0.460
2,0:51,4,2,NYJ 44,7,13,Dan Stryzinski punts 33 yards,-0.460,-0.480
2,0:42,1,10,WAS 23,7,13,Chad Morton left guard for 6 yards (tackle by Tyrone Carter),0.480,0.740
Quarter,Time,Down,ToGo,Location,NYJ,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,7,13,"John Hall kicks off 68 yards, returned by Albert Johnson for 21 yards (tackle by Patrick Johnson)",0.000,0.480
3,14:55,1,10,NYJ 23,7,13,Curtis Martin right end for 12 yards (tackle by LaVar Arrington),0.480,1.270
3,14:20,1,10,NYJ 35,7,13,LaMont Jordan up the middle for 2 yards (tackle by Jeremiah Trotter),1.270,0.990
3,13:43,2,8,NYJ 37,7,13,Vinny Testaverde pass complete to Santana Moss for 4 yards (tackle by Jessie Armstead),0.990,0.830
3,13:04,3,4,NYJ 41,7,13,Vinny Testaverde pass incomplete intended for Curtis Conway (defended by Peppi Zellner),0.830,-0.650
3,12:54,4,4,NYJ 41,7,13,"Dan Stryzinski punts 31 yards, fair catch by Chad Morton",-0.650,-0.810
3,12:47,1,10,WAS 28,7,13,"Trung Canidate left guard for 2 yards (tackle by Shaun Ellis). Penalty on Jon Jansen: Illegal Formation, 5 yards (no play)",0.810,0.480
3,12:09,1,15,WAS 23,7,13,Patrick Ramsey left end for 3 yards (tackle by Jason Ferguson),0.480,-0.010
3,11:29,2,12,WAS 26,7,13,Patrick Ramsey pass complete to Chad Morton for 5 yards (tackle by Jason Glenn),-0.010,-0.030
3,10:50,3,7,WAS 31,7,13,Patrick Ramsey pass incomplete intended for Rod Gardner is intercepted by Donnie Abraham at WAS-38 and returned for 12 yards (tackle by Laveranues Coles),-0.030,-3.840
3,10:39,1,10,WAS 26,7,13,Vinny Testaverde pass complete to Curtis Martin for -4 yards (tackle by Jessie Armstead),3.840,2.760
3,10:01,2,14,WAS 30,7,13,Curtis Martin left guard for -1 yards (tackle by Regan Upshaw),2.760,1.950
3,9:18,3,15,WAS 31,7,13,Vinny Testaverde pass complete to Curtis Conway for 17 yards (tackle by Fred Smoot),1.950,4.650
3,8:30,1,10,WAS 14,7,13,Vinny Testaverde pass complete to Anthony Becht for 1 yard (tackle by Champ Bailey),4.650,4.160
3,7:53,2,9,WAS 13,7,13,Vinny Testaverde pass incomplete intended for Curtis Conway,4.160,3.260
3,7:45,3,9,WAS 13,7,13,Vinny Testaverde pass incomplete intended for Wayne Chrebet (defended by Matt Bowen),3.260,2.570
3,7:39,4,9,WAS 13,10,13,Doug Brien 30 yard field goal good,2.570,3.000
3,,,,NYJ 30,10,13,"Doug Brien kicks off 60 yards, returned by Chad Morton for 19 yards (tackle by Jacoby Shepherd)",0.000,0.870
3,7:27,1,10,WAS 29,10,13,Patrick Ramsey pass incomplete intended for Laveranues Coles (defended by Chester McGlockton),0.870,0.330
3,7:22,2,10,WAS 29,10,13,Chad Morton left tackle for -1 yards (tackle by Chester McGlockton),0.330,-0.490
3,6:46,3,11,WAS 28,10,13,Patrick Ramsey pass incomplete intended for Ladell Betts,-0.490,-1.500
3,6:36,4,11,WAS 28,10,13,"Bryan Barker punts 39 yards, returned by Santana Moss for 26 yards (tackle by Patrick Johnson)",-1.500,-2.850
3,6:20,1,10,WAS 41,10,13,Curtis Martin right end for no gain (tackle by Jessie Armstead and Jermaine Haley),2.850,2.310
3,5:48,2,10,WAS 41,10,13,Vinny Testaverde pass complete to Curtis Martin for -3 yards (tackle by LaVar Arrington),2.310,1.220
3,5:04,3,13,WAS 44,10,13,Vinny Testaverde pass complete to Wayne Chrebet for 6 yards (tackle by Jeremiah Trotter),1.220,0.720
3,4:28,4,7,WAS 38,10,13,"Dan Stryzinski punts 24 yards, fair catch by Chad Morton",0.720,0.280
3,4:19,1,10,WAS 14,10,13,Ladell Betts right guard for 6 yards (tackle by John Abraham),-0.280,0.150
3,3:51,2,4,WAS 20,10,13,Ladell Betts right guard for 7 yards (tackle by Sam Garnes),0.150,0.740
3,3:11,1,10,WAS 27,10,13,"Penalty on Jason Ferguson: Encroachment, 5 yards (no play)",0.740,1.470
3,2:57,1,5,WAS 32,10,13,Patrick Ramsey pass complete to Robert Royal for 4 yards,1.470,1.410
3,2:29,2,1,WAS 36,10,13,Ladell Betts left guard for 6 yards (tackle by Tyrone Carter and Marvin Jones),1.410,1.730
3,1:52,1,10,WAS 42,10,13,Patrick Ramsey pass complete to Rod Gardner for 4 yards (tackle by Donnie Abraham),1.730,1.730
3,1:12,2,6,WAS 46,10,13,Patrick Ramsey pass complete to Rod Gardner for 10 yards (tackle by Mo Lewis),1.730,2.650
3,0:21,1,10,NYJ 44,10,13,Ladell Betts left guard for 4 yards (tackle by James Reed),2.650,2.650
Quarter,Time,Down,ToGo,Location,NYJ,WAS,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,NYJ 40,10,13,Ladell Betts left end for -2 yards (tackle by John Abraham),2.650,1.690
4,14:22,,,,10,13,Timeout #1 by New York Jets,0.000,1.690
4,14:22,3,8,NYJ 42,10,13,Patrick Ramsey pass incomplete intended for Rod Gardner,1.690,0.460
4,14:18,4,8,NYJ 42,10,13,"Bryan Barker punts 26 yards, fair catch by Santana Moss",0.460,0.140
4,14:11,1,10,NYJ 16,10,13,LaMont Jordan right end for no gain (tackle by Bruce Smith),-0.140,-0.660
4,13:34,2,10,NYJ 16,10,13,Vinny Testaverde sacked by Bruce Smith and Renaldo Wynn for -4 yards,-0.660,-1.890
4,13:03,3,14,NYJ 12,10,13,"Penalty on LaVar Arrington: Neutral Zone Infraction, 5 yards (no play)",-1.890,-1.200
4,12:30,3,9,NYJ 17,10,13,Vinny Testaverde pass complete to Wayne Chrebet for 8 yards (tackle by Rashad Bauman),-1.200,-1.700
4,11:52,4,1,NYJ 25,10,13,"Dan Stryzinski punts 40 yards, returned by Chad Morton for 10 yards (tackle by B.J. Askew)",-1.700,-1.930
4,11:40,1,10,WAS 45,10,13,Ladell Betts right tackle for 4 yards (tackle by Sam Garnes),1.930,1.920
4,11:03,2,6,WAS 49,10,13,"Patrick Ramsey sacked by John Abraham for -6 yards. Patrick Ramsey fumbles (forced by John Abraham), recovered by Jason Ferguson at WAS-43 (tackle by Chris Samuels)",1.920,-2.720
4,10:46,1,10,WAS 43,10,13,Vinny Testaverde pass complete to Jerald Sowell for 12 yards (tackle by Fred Smoot),2.720,3.510
4,10:21,1,10,WAS 31,10,13,Curtis Martin right end for 2 yards (tackle by Fred Smoot),3.510,3.240
4,9:43,2,8,WAS 29,10,13,Curtis Martin right guard for 4 yards (tackle by Jessie Armstead),3.240,3.070
4,9:07,3,4,WAS 25,10,13,Vinny Testaverde pass complete to Santana Moss for 1 yard (tackle by LaVar Arrington),3.070,1.970
4,8:25,4,3,WAS 24,13,13,Doug Brien 41 yard field goal good,1.970,3.000
4,,,,NYJ 30,13,13,"Doug Brien kicks off 64 yards, returned by Chad Morton for 27 yards (tackle by Jason Glenn)",0.000,1.140
4,8:07,1,10,WAS 33,13,13,Trung Canidate left end for 8 yards (tackle by Aaron Beasley),1.140,1.670
4,7:35,2,2,WAS 41,13,13,Trung Canidate right end for 9 yards (tackle by Tyrone Carter),1.670,2.260
4,6:44,1,10,WAS 50,13,13,"Trung Canidate right end for 3 yards (tackle by John Abraham). Penalty on Dave Fiore: Offensive Holding, 10 yards",2.260,1.800
4,6:15,1,17,WAS 43,13,13,"Penalty on Robert Royal: False Start, 5 yards (no play)",1.800,1.470
4,5:57,1,22,WAS 38,13,13,Trung Canidate left guard for 7 yards (tackle by Jason Glenn),1.470,1.040
4,5:20,2,15,WAS 45,13,13,Patrick Ramsey pass complete to Rod Gardner for 6 yards (tackle by Aaron Beasley),1.040,1.160
4,4:49,3,9,NYJ 49,13,13,Patrick Ramsey pass incomplete intended for Darnerien McCants,1.160,0.000
4,4:36,4,9,NYJ 49,13,13,Bryan Barker punts 27 yards,0.000,-0.410
4,4:29,1,10,NYJ 22,13,13,Santana Moss left end for 9 yards (tackle by Matt Bowen),0.410,1.080
4,3:47,2,1,NYJ 31,13,13,Curtis Martin up the middle for no gain (tackle by LaVar Arrington),1.080,0.370
4,2:57,,,,13,13,Timeout #2 by New York Jets,0.000,0.370
4,2:57,3,1,NYJ 31,13,13,LaMont Jordan up the middle for -4 yards (tackle by Jeremiah Trotter),0.370,-1.570
4,2:25,4,5,NYJ 27,13,13,"Dan Stryzinski punts 34 yards, fair catch by Chad Morton",-1.570,-1.530
4,2:16,1,10,WAS 39,13,13,Ladell Betts left guard for 6 yards (tackle by Sam Garnes and Shaun Ellis),1.530,1.800
4,2:00,2,4,WAS 45,13,13,Patrick Ramsey left end for 24 yards,1.800,3.510
4,1:27,,,,13,13,Timeout #3 by New York Jets,0.000,3.510
4,1:27,1,10,NYJ 31,13,13,Ladell Betts right guard for 3 yards (tackle by Sam Cowart),3.510,3.370
4,0:50,2,7,NYJ 28,13,13,Ladell Betts right end for 11 yards (tackle by Tyrone Carter),3.370,4.440
4,0:13,1,10,NYJ 17,13,13,Ladell Betts left guard for 3 yards (tackle by Sam Cowart),4.440,4.320
4,0:08,,,,13,13,Timeout #1 by Washington Redskins,0.000,4.320
4,0:08,2,7,NYJ 14,13,16,John Hall 33 yard field goal good,4.320,3.000
4,,,,WAS 30,13,16,"John Hall kicks off 51 yards, returned by LaMont Jordan for 21 yards (tackle by Antonio Pierce)",0.000,0.940
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
