Quarter,Time,Tm,Detail,PHI,GNB
2.0,0:40,Packers,Ahman Green 24 yard pass from Brett Favre (Ryan Longwell kick),0,7
3.0,9:29,Eagles,David Akers 21 yard field goal,3,7
4.0,9:22,Eagles,Donovan McNabb 1 yard rush (David Akers kick),10,7
,7:03,Packers,Ahman Green 45 yard rush (Ryan Longwell kick),10,14
,0:27,Eagles,Todd Pinkston 6 yard pass from Donovan McNabb (David Akers kick),17,14
