Unnamed: 0,PHI,GNB
First Downs,15,17
Rush-Yds-TDs,30-92-1,37-241-1
Cmp-Att-Yd-TD-INT,15-31-198-1-0,14-22-109-1-1
Sacked-Yards,1-8,4-41
Net Pass Yards,190,68
Total Yards,282,309
Fumbles-Lost,0-0,6-2
Turnovers,0,3
Penalties-Yards,6-40,4-33
Third Down Conv.,4-14,3-14
Fourth Down Conv.,0-1,1-1
Time of Possession,28:45,31:15
